game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,kr_no,kr_yds,pat_att,pat_made,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,10.0,4.0,97.0,,,5.0,,58.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,11.0,,,1.0,1.0,19.0,1.0,195.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,9.0,1.0,26.0,,,18.0,6.0,204.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,2.0,8.0,,,,,21.0,2.0,269.0,1.0,2.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,10.0,,,,,20.0,3.0,150.0,,
