game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,int_avg,int_long,int_yards,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_defended,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,15.0,14.0,0.0,15.0,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,26.0,28.0,0.0,52.0,,0.0,0.0,,3.0,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,2.0,0.0,1.0,0.0,0.0,2.0,0.0,,,,3.0,27.0,30.0,0.0,81.0,,0.0,0.0,,0.0,,
FOOTBALL_IFL_2026_3_29_TTULSAOILERSG202603294IX1@TSANANTONIOGUNSLINGERS,2026-03-29,2026,3,IFL,Tulsa Oilers,San Antonio Gunslingers,7.0,,,,,,,,,,,,,,,,,,1.0,8.0,,
FOOTBALL_IFL_2026_4_18_TFISHERSFREIGHTG202604185HGP@TTULSAOILERS,2026-04-18,2026,6,IFL,Fishers Freight,Tulsa Oilers,4.0,,,,,,,,,,,,,,,,,,2.0,6.0,,
FOOTBALL_NAL_2026_4_11_T566773G1127154@T570667,2026-04-12,2026,6,NAL,Amarillo Warbirds,Colorado Spartans,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_5_2_TSANDIEGOSTRIKEFORCEG20260502S5MS@TTULSAOILERS,2026-05-02,2026,8,IFL,San Diego Strike Force,Tulsa Oilers,3.0,,,,,,,,,,1.0,6.0,6.0,1.0,6.0,3.0,,,7.0,10.0,1.0,0.0
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,2.0,,
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,4.0,,
FOOTBALL_IFL_2026_5_23_TTULSAOILERSG20260523IVJK@TSANANTONIOGUNSLINGERS,2026-05-23,2026,11,IFL,Tulsa Oilers,San Antonio Gunslingers,5.0,1.0,,,0.0,,,6.0,6.0,6.0,,,,,,,,,3.0,8.0,1.0,0.0
FOOTBALL_IFL_2026_5_30_TIOWABARNSTORMERSG20260530KP8L@TTULSAOILERS,2026-05-30,2026,12,IFL,Iowa Barnstormers,Tulsa Oilers,2.0,,,,,,,,,,,,,,,1.0,,,5.0,7.0,,
FOOTBALL_IFL_2026_6_6_TTULSAOILERSG20260606EDGN@TFISHERSFREIGHT,2026-06-06,2026,13,IFL,Tulsa Oilers,Fishers Freight,4.0,1.0,,,0.0,,,18.0,18.0,18.0,,,,,,,,,4.0,8.0,,
FOOTBALL_IFL_2026_6_13_TORLANDOPIRATESG202606136M0I@TTULSAOILERS,2026-06-13,2026,14,IFL,Orlando Pirates,Tulsa Oilers,1.0,,,,,,,,,,,,,,,1.0,,,6.0,7.0,0.5,0.0
FOOTBALL_IFL_2026_6_20_TSANANTONIOGUNSLINGERSG20260620VJ0P@TTULSAOILERS,2026-06-20,2026,15,IFL,San Antonio Gunslingers,Tulsa Oilers,0.0,1.0,,,1.0,,,23.0,23.0,23.0,,,,,,1.0,,,1.0,1.0,,
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,3.0,,,,,,,,,,,,,,,,,,2.0,5.0,,
FOOTBALL_IFL_2026_7_11_TJACKSONVILLESHARKSG202607112P19@TTULSAOILERS,2026-07-11,2026,18,IFL,Jacksonville Sharks,Tulsa Oilers,1.0,,,,,,,,,,,,,,,1.0,,,3.0,4.0,,
FOOTBALL_IFL_2026_7_18_TQUADCITYSTEAMWHEELERSG20260718WOHW@TTULSAOILERS,2026-07-18,2026,19,IFL,Quad City Steamwheelers,Tulsa Oilers,0.0,2.0,,,0.0,,,19.0,25.0,38.0,,,,,,,,,4.0,4.0,2.0,0.0
FOOTBALL_IFL_2026_7_25_TTULSAOILERSG20260725MK7L@TQUADCITYSTEAMWHEELERS,2026-07-25,2026,20,IFL,Tulsa Oilers,Quad City Steamwheelers,0.0,,,,,,,,,,,,,,,1.0,,,5.0,5.0,,
