game_id,date,season,week,league,away,home,def_solo,def_tot,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_num,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2018_10_20_SSK@CGY,2018-10-20,2018,1,CFL,SSK,CGY,,,,28.0,5.0,7.0,,51.0,113.0,,,,,,,,
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,,,,1.0,,,,,,,,,,,
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,,,,18.0,4.0,7.0,,12.0,41.0,,,,,,,,
FOOTBALL_CFL_2018_11_11_WPG@SSK,2018-11-11,2018,1,CFL,WPG,SSK,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,9.0,9.0,,,,
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,,,,9.0,3.0,3.0,,5.0,23.0,,,,,,,,
FOOTBALL_CFL_2018_6_21_SSK@OTT,2018-06-21,2018,1,CFL,SSK,OTT,,,,,1.0,3.0,1.0,4.0,32.0,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,,,,11.0,2.0,4.0,,9.0,19.0,,,,,,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,,,,18.0,6.0,7.0,,51.0,57.0,,,,,,,,
FOOTBALL_CFL_2018_7_28_CGY@SSK,2018-07-28,2018,1,CFL,CGY,SSK,1.0,1.0,,11.0,5.0,7.0,,16.0,19.0,,,,,,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,,,,5.0,1.0,1.0,,5.0,5.0,,,,,,,,
FOOTBALL_CFL_2018_8_19_CGY@SSK,2018-08-19,2018,1,CFL,CGY,SSK,,,,39.0,10.0,10.0,,38.0,152.0,,,,,,,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,,,4.0,6.0,1.0,12.0,13.0,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,,,,32.0,4.0,5.0,,32.0,86.0,,,,,,,,
FOOTBALL_CFL_2018_9_15_OTT@SSK,2018-09-15,2018,1,CFL,OTT,SSK,,,,5.0,2.0,5.0,,4.0,9.0,,,,,,,,
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,,,2.0,4.0,2.0,,17.0,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2018_9_2_WPG@SSK,2018-09-02,2018,1,CFL,WPG,SSK,,,,39.0,4.0,5.0,,9.0,65.0,,,,,,,,
FOOTBALL_CFL_2018_9_30_SSK@MTL,2018-09-30,2018,1,CFL,SSK,MTL,,,,23.0,4.0,6.0,,3.0,42.0,,,,,1.0,,2.0,
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,,,,24.0,5.0,6.0,,32.0,71.0,,,,,,,,
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,,9.0,2.0,7.0,,9.0,14.0,,,,,,,,
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,,,,22.0,2.0,2.0,,15.0,31.0,1.0,,,,,,,
FOOTBALL_CFL_2019_10_5_WPG@SSK,2019-10-05,2019,1,CFL,WPG,SSK,,,,12.0,1.0,1.0,,5.0,12.0,,,,,,,,
FOOTBALL_CFL_2019_8_16_CHI@NYG,2019-08-16,2019,1,CFL,CHI,NYG,,,,9.0,2.0,2.0,,,17.0,,,,,,,,
FOOTBALL_CFL_2019_8_24_CHI@IND,2019-08-24,2019,1,CFL,CHI,IND,,,1.0,15.0,1.0,1.0,,,15.0,,,,,,,,
FOOTBALL_CFL_2019_8_29_TEN@CHI,2019-08-29,2019,1,CFL,TEN,CHI,,,1.0,12.0,2.0,3.0,,4.0,17.0,,,,,,,,
