game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,games_played,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202505160WAS,2025-05-16,2025,1,WNBA,ATL,WAS,2.0,,2.0,1.0,2.0,2.0,0.857,7.0,6.0,4.0,0.833,6.0,5.0,,23.733333333333334,,3.0,19.0,2.0,,1.0
WNBA_202505180CON,2025-05-18,2025,1,WNBA,WAS,CON,3.0,1.0,1.0,,3.0,,0.5,10.0,5.0,4.0,0.833,6.0,5.0,,23.566666666666666,,9.0,15.0,1.0,2.0,1.0
WNBA_202505210GSV,2025-05-21,2025,1,WNBA,WAS,GSV,1.0,1.0,8.0,0.333,6.0,2.0,0.273,11.0,3.0,2.0,1.0,2.0,2.0,,34.766666666666666,,-9.0,10.0,8.0,1.0,1.0
WNBA_202505230LVA,2025-05-23,2025,1,WNBA,WAS,LVA,3.0,,5.0,0.667,6.0,4.0,0.545,11.0,6.0,1.0,1.0,3.0,3.0,,36.233333333333334,,-3.0,19.0,5.0,,1.0
WNBA_202505250PHO,2025-05-25,2025,1,WNBA,WAS,PHO,4.0,,1.0,0.5,4.0,2.0,0.625,8.0,5.0,5.0,1.0,2.0,2.0,,33.18333333333333,,-12.0,14.0,1.0,1.0,6.0
WNBA_202505280WAS,2025-05-28,2025,1,WNBA,IND,WAS,1.0,,6.0,,4.0,,0.417,12.0,5.0,1.0,1.0,3.0,3.0,,33.5,1.0,6.0,13.0,7.0,,
WNBA_202505300WAS,2025-05-30,2025,1,WNBA,NYL,WAS,,1.0,3.0,0.4,5.0,2.0,0.308,13.0,4.0,2.0,,,,,31.366666666666667,1.0,-15.0,10.0,4.0,,3.0
WNBA_202506030IND,2025-06-03,2025,1,WNBA,WAS,IND,1.0,1.0,7.0,0.333,3.0,1.0,0.625,8.0,5.0,1.0,1.0,2.0,2.0,,32.916666666666664,,-13.0,13.0,7.0,,2.0
WNBA_202506050WAS,2025-06-05,2025,1,WNBA,NYL,WAS,3.0,,5.0,0.5,4.0,2.0,0.5,8.0,4.0,4.0,0.75,4.0,3.0,,34.583333333333336,,-2.0,13.0,5.0,1.0,2.0
WNBA_202506080WAS,2025-06-08,2025,1,WNBA,CON,WAS,4.0,,3.0,,3.0,,0.5,10.0,5.0,2.0,0.5,2.0,1.0,,27.3,,19.0,11.0,3.0,2.0,2.0
WNBA_202506150WAS,2025-06-15,2025,1,WNBA,ATL,WAS,,,2.0,,3.0,,0.25,8.0,2.0,1.0,0.857,7.0,6.0,,30.366666666666667,1.0,-34.0,10.0,3.0,2.0,2.0
WNBA_202506170CHI,2025-06-17,2025,1,WNBA,WAS,CHI,3.0,,8.0,0.333,3.0,1.0,0.444,9.0,4.0,2.0,0.8,5.0,4.0,,35.9,1.0,21.0,13.0,9.0,3.0,2.0
WNBA_202506200ATL,2025-06-20,2025,1,WNBA,WAS,ATL,3.0,,3.0,0.286,7.0,2.0,0.5,14.0,7.0,1.0,1.0,1.0,1.0,,37.13333333333333,,1.0,17.0,3.0,1.0,1.0
WNBA_202506220WAS,2025-06-22,2025,1,WNBA,DAL,WAS,2.0,1.0,9.0,0.571,7.0,4.0,0.692,13.0,9.0,2.0,0.714,7.0,5.0,,41.233333333333334,2.0,1.0,27.0,11.0,2.0,5.0
WNBA_202506240WAS,2025-06-24,2025,1,WNBA,MIN,WAS,2.0,,1.0,0.25,4.0,1.0,0.231,13.0,3.0,1.0,1.0,2.0,2.0,,37.083333333333336,3.0,8.0,9.0,4.0,2.0,2.0
WNBA_202506260LVA,2025-06-26,2025,1,WNBA,WAS,LVA,2.0,,2.0,0.75,4.0,3.0,0.538,13.0,7.0,1.0,1.0,4.0,4.0,,34.18333333333333,,8.0,21.0,2.0,1.0,1.0
WNBA_202506280DAL,2025-06-28,2025,1,WNBA,WAS,DAL,2.0,,5.0,0.375,8.0,3.0,0.4,15.0,6.0,3.0,1.0,7.0,7.0,,38.81666666666667,5.0,-6.0,22.0,10.0,2.0,2.0
WNBA_202507030MIN,2025-07-03,2025,1,WNBA,WAS,MIN,,1.0,4.0,0.333,3.0,1.0,0.429,7.0,3.0,1.0,,,,,29.466666666666665,,-15.0,7.0,4.0,,
WNBA_202507080WAS,2025-07-08,2025,1,WNBA,CHI,WAS,3.0,,6.0,0.5,4.0,2.0,0.455,11.0,5.0,3.0,1.0,1.0,1.0,,35.15,2.0,4.0,13.0,8.0,1.0,
WNBA_202507100WAS,2025-07-10,2025,1,WNBA,LVA,WAS,,,5.0,,4.0,,0.2,10.0,2.0,1.0,1.0,5.0,5.0,,38.416666666666664,,2.0,9.0,5.0,,
WNBA_202507130SEA,2025-07-13,2025,1,WNBA,WAS,SEA,,,,0.25,4.0,1.0,0.455,11.0,5.0,3.0,1.0,6.0,6.0,,35.983333333333334,1.0,-1.0,17.0,1.0,,4.0
WNBA_202507150LAS,2025-07-15,2025,1,WNBA,WAS,LAS,6.0,1.0,6.0,0.4,5.0,2.0,0.333,9.0,3.0,3.0,,,,,31.7,,-18.0,8.0,6.0,2.0,5.0
WNBA_202507220WAS,2025-07-22,2025,1,WNBA,LAS,WAS,6.0,1.0,4.0,0.333,3.0,1.0,0.286,7.0,2.0,5.0,1.0,2.0,2.0,,29.516666666666666,,6.0,7.0,4.0,3.0,
WNBA_202507260WAS,2025-07-26,2025,1,WNBA,SEA,WAS,3.0,2.0,8.0,,2.0,,0.556,9.0,5.0,1.0,1.0,1.0,1.0,,30.416666666666668,2.0,-2.0,11.0,10.0,1.0,1.0
WNBA_202507270WAS,2025-07-27,2025,1,WNBA,PHO,WAS,2.0,,2.0,,2.0,,0.375,8.0,3.0,2.0,0.875,8.0,7.0,,26.533333333333335,,-17.0,13.0,2.0,1.0,4.0
WNBA_202507290WAS,2025-07-29,2025,1,WNBA,CHI,WAS,2.0,1.0,2.0,0.833,6.0,5.0,0.667,15.0,10.0,2.0,1.0,3.0,3.0,,28.516666666666666,,14.0,28.0,2.0,1.0,3.0
WNBA_202507310WAS,2025-07-31,2025,1,WNBA,GSV,WAS,2.0,1.0,2.0,0.333,6.0,2.0,0.429,14.0,6.0,1.0,0.667,3.0,2.0,,32.46666666666667,,11.0,16.0,2.0,2.0,
WNBA_202508030ATL,2025-08-03,2025,1,WNBA,WAS,ATL,3.0,,,0.25,4.0,1.0,0.364,11.0,4.0,3.0,0.875,8.0,7.0,,32.583333333333336,1.0,-16.0,16.0,1.0,2.0,
WNBA_202508050CHI,2025-08-05,2025,1,WNBA,WAS,CHI,2.0,,2.0,0.333,3.0,1.0,0.417,12.0,5.0,,0.5,4.0,2.0,,33.53333333333333,2.0,-10.0,13.0,4.0,4.0,2.0
WNBA_202508080MIN,2025-08-08,2025,1,WNBA,WAS,MIN,4.0,,1.0,0.8,5.0,4.0,0.75,12.0,9.0,1.0,0.667,6.0,4.0,,28.416666666666668,,-1.0,26.0,1.0,1.0,3.0
WNBA_202508100DAL,2025-08-10,2025,1,WNBA,WAS,DAL,6.0,,5.0,0.5,2.0,1.0,0.7,10.0,7.0,3.0,0.75,4.0,3.0,,32.166666666666664,,17.0,18.0,5.0,1.0,3.0
WNBA_202508130WAS,2025-08-13,2025,1,WNBA,GSV,WAS,3.0,,3.0,0.333,3.0,1.0,0.308,13.0,4.0,4.0,1.0,6.0,6.0,,33.8,,12.0,15.0,3.0,1.0,1.0
WNBA_202508150IND,2025-08-15,2025,1,WNBA,WAS,IND,3.0,,1.0,0.6,5.0,3.0,0.462,13.0,6.0,2.0,1.0,6.0,6.0,,30.516666666666666,1.0,19.0,21.0,2.0,,2.0
WNBA_202508170WAS,2025-08-17,2025,1,WNBA,LAS,WAS,3.0,,,0.833,6.0,5.0,0.563,16.0,9.0,3.0,1.0,1.0,1.0,,26.883333333333333,1.0,10.0,24.0,1.0,,
WNBA_202508190WAS,2025-08-19,2025,1,WNBA,CON,WAS,3.0,,2.0,0.429,7.0,3.0,0.412,17.0,7.0,,1.0,2.0,2.0,,34.03333333333333,1.0,-6.0,19.0,3.0,,2.0
WNBA_202508210CON,2025-08-21,2025,1,WNBA,WAS,CON,1.0,1.0,1.0,0.5,2.0,1.0,0.556,9.0,5.0,1.0,1.0,4.0,4.0,,30.75,,-6.0,15.0,1.0,1.0,4.0
WNBA_202508230WAS,2025-08-23,2025,1,WNBA,LVA,WAS,3.0,,1.0,0.8,5.0,4.0,0.571,7.0,4.0,3.0,1.0,1.0,1.0,,28.15,,-2.0,13.0,1.0,1.0,1.0
WNBA_202508240WAS,2025-08-24,2025,1,WNBA,SEA,WAS,1.0,,6.0,,1.0,,0.5,12.0,6.0,,1.0,2.0,2.0,,35.516666666666666,,-1.0,14.0,6.0,4.0,5.0
WNBA_202508280NYL,2025-08-28,2025,1,WNBA,WAS,NYL,1.0,2.0,1.0,0.571,7.0,4.0,0.5,14.0,7.0,2.0,,,,,32.483333333333334,2.0,-16.0,18.0,3.0,1.0,1.0
WNBA_202508300GSV,2025-08-30,2025,1,WNBA,WAS,GSV,3.0,,1.0,0.5,2.0,1.0,0.429,7.0,3.0,4.0,1.0,4.0,4.0,,26.733333333333334,1.0,-26.0,11.0,2.0,1.0,5.0
WNBA_202508310LAS,2025-08-31,2025,1,WNBA,WAS,LAS,3.0,,2.0,0.75,4.0,3.0,0.571,7.0,4.0,3.0,0.5,2.0,1.0,,26.4,,-12.0,12.0,2.0,2.0,1.0
WNBA_202509040WAS,2025-09-04,2025,1,WNBA,PHO,WAS,1.0,1.0,3.0,0.333,3.0,1.0,0.222,9.0,2.0,1.0,0.667,3.0,2.0,,31.266666666666666,1.0,-1.0,7.0,4.0,1.0,3.0
WNBA_202509070WAS,2025-09-07,2025,1,WNBA,IND,WAS,,1.0,2.0,1.0,2.0,2.0,0.667,9.0,6.0,3.0,0.75,4.0,3.0,,31.85,,-19.0,17.0,2.0,1.0,7.0
WNBA_202509090NYL,2025-09-09,2025,1,WNBA,WAS,NYL,4.0,,4.0,0.5,6.0,3.0,0.417,12.0,5.0,2.0,,,,,35.483333333333334,,-17.0,13.0,4.0,3.0,
UNRIVALED_2026_SEASON_TOTAL,,2026,1,UNRIVALED,,,3.1,0.9,3.6,21.4,4.3,0.9,45.8,12.9,5.9,3.0,88.9,1.4,1.2,13.0,16.8,0.5,,15.2,4.1,0.9,1.3
