game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,13.0,9.0,,74.0,94.0,13.0,2.0,429.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,18.0,23.0,1.0,252.0,202.0,18.0,4.0,1001.0
