game_id,date,season,week,league,away,home,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,27.0,18.0,4.0,76.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,17.0,7.0,2.0,25.0
