game_id,date,season,week,league,away,home,3pt_pass,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_PHI,,,1,USFL,,,,1.0,1.0,1.0,202.0,0.0,0.0,1.0,0.0,7.0
SYNTHETIC_USFL_W2_PHI,,,2,USFL,,,1.0,1.0,1.0,3.0,272.0,,,,1.0,16.0
SYNTHETIC_USFL_W3_PHI,,,3,USFL,,,,0.0,,1.0,84.0,,,,,
SYNTHETIC_CFL_2023_W17_TOR,,2023,17,CFL,,,,0.0,,0.0,0.0,,,,,
SYNTHETIC_CFL_2024_W4_TOR,,2024,4,CFL,,,,0.0,,1.0,79.0,,,,,
