game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,7.0,83.0,35.0,4.0,4.0,518.0,8.0,1.0,9.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,10.0,30.0,18.0,,,105.0,4.0,,14.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,10.0,145.0,74.0,7.0,8.0,811.0,8.0,,60.0
