game_id,date,season,week,league,away,home,field_goal_yards,missed
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,81.0,
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,67.0,
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,143.0,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,139.0,
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,72.0,
62,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,102.0,
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,97.0,
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,49.0,1.0
72,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,44.0,
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,66.0,
