game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,16.0,,,9.0,16.0,,4.0,,32.0,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,34.0,,,17.0,31.0,,10.0,,65.0,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,37.0,,,12.0,15.0,,4.0,,52.0,4.0,1.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,62.0,,,17.0,23.0,,10.0,,85.0,10.0,5.0,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,4.0,4.0,4.0,,3.0,4.0,,4.0,,,,4.0,4.0
