game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,,,45.0,32.0,1.0,,4.0,1.0,2.0,485.0,,,,,,,,2.0,5.0,,6.0,,,,,,,,
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,,,,,21.0,12.0,1.0,23.0,16.0,2.0,1.0,120.0,,,,,,,,5.0,19.0,,47.0,,,,,,,,
FOOTBALL_CFL_2016_11_4_WPG@OTT,2016-11-04,2016,1,CFL,WPG,OTT,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,,,,,19.0,17.0,,,,,3.0,292.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,,,,,26.0,20.0,,64.0,13.0,3.0,3.0,395.0,,,,,,,,2.0,9.0,,15.0,,,,,,,,
FOOTBALL_CFL_2016_7_13_OTT@TOR,2016-07-13,2016,1,CFL,OTT,TOR,,,,,31.0,28.0,,77.0,21.0,3.0,,392.0,,,,,,,,5.0,9.0,1.0,18.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,,,,,3.0,2.0,,20.0,3.0,1.0,,24.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,,,,,50.0,39.0,1.0,,11.0,2.0,3.0,396.0,,,,,,,,5.0,14.0,,22.0,,,,,,,,
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,,,,,30.0,23.0,,53.0,36.0,4.0,1.0,352.0,,,-11.0,1.0,1.0,-11.0,-11.0,1.0,7.0,,7.0,,,,,,,,
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,,,29.0,17.0,1.0,63.0,23.0,3.0,2.0,289.0,,,,,,,,3.0,4.0,,7.0,,,,,,,,
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,,,,,40.0,27.0,,41.0,4.0,2.0,1.0,282.0,,,,,,,,4.0,1.0,,2.0,,,,,,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,,,,35.0,25.0,,34.0,12.0,2.0,,274.0,,,,,,,,3.0,,1.0,2.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,,,33.0,17.0,1.0,36.0,,,2.0,262.0,,,,,,,,,,,,,,,,,,,
