game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,8.0,,,12.0,1.0,,8.0,,9.0,,,,
NLL_2021_SEASON_TOTAL,,,1,,,,36.0,,,18.0,26.0,,12.0,,62.0,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,38.0,,,18.0,25.0,,26.0,,63.0,13.0,6.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,33.0,,,18.0,17.0,,19.0,,50.0,11.0,5.0,,
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0
