game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,match_played
cricket-t20i-2023-08-04-1387944,2023-08-04,2023,1,T20I,Greece,Isle of Man,26.0,1.0,1.0,2.0,22.0,0.0,1.0
cricket-t20i-2023-08-04-1387946,2023-08-04,2023,1,T20I,Romania,Isle of Man,4.0,1.0,1.0,2.0,5.0,0.0,1.0
cricket-t20i-2023-08-05-1387948,2023-08-05,2023,1,T20I,Malta,Isle of Man,3.0,1.0,0.0,2.0,4.0,0.0,1.0
cricket-t20i-2023-08-06-1387951,2023-08-06,2023,1,T20I,Greece,Isle of Man,8.0,4.0,0.0,2.0,17.0,0.0,1.0
cricket-t20i-2024-08-24-1447550,2024-08-24,2024,1,T20I,Isle of Man,Greece,31.0,2.0,1.0,4.0,27.0,0.0,1.0
cricket-t20i-2024-08-25-1447553,2024-08-25,2024,1,T20I,Greece,Isle of Man,4.0,0.0,0.0,4.0,2.0,0.0,1.0
cricket-t20i-2025-05-25-1486090,2025-05-25,2025,1,T20I,Isle of Man,Italy,7.0,0.0,0.0,5.0,3.0,0.0,1.0
cricket-t20i-2025-05-26-1486093,2025-05-26,2025,1,T20I,Sweden,Isle of Man,0.0,0.0,1.0,5.0,0.0,0.0,1.0
cricket-t20i-2025-05-28-1486097,2025-05-28,2025,1,T20I,Isle of Man,Spain,3.0,0.0,0.0,5.0,2.0,0.0,1.0
cricket-t20i-2025-05-29-1486102,2025-05-29,2025,1,T20I,Isle of Man,Germany,4.0,0.0,0.0,4.0,1.0,0.0,1.0
