game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,5.0,161.0,84.0,2.0,6.0,1140.0,42.0,3.0,202.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,12.0,233.0,143.0,7.0,17.0,1744.0,100.0,9.0,549.0
