game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,sacks,tackles
SYNTHETIC_CFL_W1_BC,,,1,CFL,,,,,,,1.0,55.0,4.0,,
SYNTHETIC_CFL_W4_BC,,,4,CFL,,,,,,,1.0,166.0,7.0,,
SYNTHETIC_CFL_W5_BC,,,5,CFL,,,,,,,0.0,13.0,1.0,,
SYNTHETIC_CFL_W7_BC,,,7,CFL,,,,,,,0.0,42.0,3.0,,
SYNTHETIC_CFL_W8_BC,,,8,CFL,,,,,,,0.0,110.0,7.0,,
SYNTHETIC_CFL_W9_BC,,,9,CFL,,,,,,,0.0,88.0,5.0,,
SYNTHETIC_CFL_W10_BC,,,10,CFL,,,,,,,0.0,61.0,6.0,,
SYNTHETIC_CFL_W11_BC,,,11,CFL,,,,,,,0.0,26.0,2.0,,
SYNTHETIC_CFL_W14_BC,,,14,CFL,,,,,,,0.0,72.0,3.0,,
SYNTHETIC_CFL_W15_BC,,,15,CFL,,,,,,,0.0,45.0,3.0,,
SYNTHETIC_CFL_W16_BC,,,16,CFL,,,,,,,0.0,50.0,3.0,,
SYNTHETIC_CFL_W17_BC,,,17,CFL,,,,,,,1.0,47.0,3.0,,
SYNTHETIC_CFL_W18_BC,,,18,CFL,,,,,,,1.0,43.0,3.0,,
SYNTHETIC_CFL_W19_BC,,,19,CFL,,,,,,,0.0,25.0,3.0,,
SYNTHETIC_CFL_W20_BC,,,20,CFL,,,,,,,1.0,49.0,3.0,,
SYNTHETIC_CFL_W21_BC,,,21,CFL,,,,,,,0.0,59.0,5.0,,
SYNTHETIC_CFL_2023_W4_BC,,2023,4,CFL,,,,,,,1.0,104.0,8.0,,
SYNTHETIC_CFL_2023_W5_BC,,2023,5,CFL,,,,,,,0.0,68.0,6.0,,
SYNTHETIC_CFL_2023_W7_BC,,2023,7,CFL,,,,,,,0.0,74.0,4.0,,
SYNTHETIC_CFL_2023_W8_BC,,2023,8,CFL,,,0.0,,0.0,0.0,0.0,87.0,5.0,,
SYNTHETIC_CFL_2023_W9_BC,,2023,9,CFL,,,,,,,0.0,60.0,4.0,,
SYNTHETIC_CFL_2023_W10_BC,,2023,10,CFL,,,,,,,1.0,170.0,9.0,,
SYNTHETIC_CFL_2023_W11_BC,,2023,11,CFL,,,,,,,1.0,94.0,6.0,,
SYNTHETIC_CFL_2023_W12_BC,,2023,12,CFL,,,,,,,1.0,107.0,7.0,,
SYNTHETIC_CFL_2023_W13_BC,,2023,13,CFL,,,,,,,1.0,56.0,5.0,,
SYNTHETIC_CFL_2023_W15_BC,,2023,15,CFL,,,,,,,0.0,20.0,1.0,,
SYNTHETIC_CFL_2023_W16_BC,,2023,16,CFL,,,,,,,0.0,91.0,4.0,,
SYNTHETIC_CFL_2023_W17_BC,,2023,17,CFL,,,,0.0,,,1.0,172.0,10.0,0.0,1.0
