game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,1.0,3.0,,,1.0
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,,1.0,,2.0,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,6.0,16.0,3.0,14.0,9.0
