game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,2.0,5.0,1.0,9.0,3.0,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,20.0,15.0,11.0,23.0,31.0,2.0,4.0,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,14.0,16.0,8.0,24.0,22.0,,,1.0
