game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-uslc-2017-zeQZe4DqKw,,2017,1,USLC,,,0.0,-0.0378,41.9338,33.7728,0.0,43.0,-3.2072,0.0,0.9306,0.0,0.073,1.0,1947.0,0.6667,678.0,3.0752,0.4536,0.0,89.0,0.0,137.0,0.0,0.0378,0.0,46.2072,0.0,0.0378,0.6621,0.0
soccer-uslc-2018-zeQZe4DqKw,,2018,1,USLC,,,0.0,0.0,47.2607,40.2441,0.0,29.0,-4.0042,0.0,0.8787,0.0,0.1935,0.0,1672.0,0.5867,588.0,5.5719,0.9476,0.0,62.0,0.0,93.0,0.0,0.0,0.0,33.0042,0.0,0.0,0.5773,0.0
soccer-uslc-2019-zeQZe4DqKw,,2019,1,USLC,,,0.0,0.0,43.2138,35.819,0.0,11.0,0.2979,0.0,1.0278,0.0,0.1714,0.0,490.0,0.6364,154.0,-0.7639,-0.496,0.0,24.0,0.0,35.0,0.0,0.0,0.0,10.7021,0.0,0.0,0.6413,0.0
soccer-uslc-2021-2vQ14GKqrA,,2021,1,USLC,,,0.0,0.0,33.8056,24.4684,0.0,25.0,3.0976,0.0,1.1414,0.0,0.1094,0.0,1283.0,0.7136,412.0,-5.2477,-1.2737,0.0,36.0,0.0,64.0,0.0,0.0,0.0,21.9024,0.0,0.0,0.7263,0.0
soccer-mls-2022-Z2vQ1xlqrA,,2022,1,MLS,,,0.0,0.0,29.797,21.2329,0.0,2.0,0.758,0.0,1.6104,0.0,0.2,0.0,190.0,0.8333,42.0,0.8604,2.0486,0.0,8.0,0.0,10.0,0.0,0.0,0.0,1.242,0.0,0.0,0.8128,0.0
soccer-mlsnp-2022-2vQ14GKqrA,,2022,1,MLSNP,,,0.0,0.0,33.6905,24.7195,0.0,15.0,2.0523,0.0,1.1585,0.0,0.1373,0.0,992.0,0.7315,298.0,-3.5626,-1.1955,0.0,33.0,0.0,51.0,0.0,0.0,0.0,12.9477,0.0,0.0,0.7435,0.0
soccer-mls-2023-Z2vQ1xlqrA,,2023,1,MLS,,,0.0,0.0,33.1173,23.6514,0.0,20.0,4.0458,0.0,1.2536,0.0,0.1724,0.0,1333.0,0.7444,399.0,-15.8027,-3.9606,0.0,38.0,0.0,58.0,0.0,0.0,0.0,15.9542,0.0,0.0,0.784,0.0
soccer-mlsnp-2023-2vQ14GKqrA,,2023,1,MLSNP,,,0.0,0.0,30.6844,21.6445,0.0,7.0,0.9621,0.0,1.1593,0.0,0.05,0.0,293.0,0.8242,91.0,1.7684,1.9433,0.0,13.0,0.0,20.0,0.0,0.0,0.0,6.0379,0.0,0.0,0.8047,0.0
soccer-uslc-2024-7vQ7x3YMD1,,2024,1,USLC,,,0.0,0.0,37.3789,31.9678,0.0,13.0,2.02,0.0,1.184,0.0,0.1463,0.0,918.0,0.6748,206.0,5.914,2.8709,0.0,27.0,0.0,41.0,0.0,0.0,0.0,10.98,0.0,0.0,0.646,0.0
soccer-uslc-2025-7VqGZE35vW,,2025,1,USLC,,,0.0,0.0,33.6139,26.4459,0.0,36.0,0.4264,0.0,1.012,0.0,0.1845,0.0,2397.0,0.7175,715.0,-3.5984,-0.5033,0.0,63.0,0.0,103.0,0.0,0.0,0.0,35.5736,0.0,0.0,0.7225,0.0
soccer-uslc-2026-7VqGZE35vW,,2026,1,USLC,,,0.0,0.0,30.1549,22.0047,0.0,2.0,-0.0987,0.0,0.953,0.0,0.0,0.0,99.0,0.8,30.0,-0.4869,-1.6231,0.0,4.0,0.0,6.0,0.0,0.0,0.0,2.0987,0.0,0.0,0.8162,0.0
