game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions
SYNTHETIC_CFL_2025_W2_CGY,,2025,2,CFL,,,0.0,31.0,1.0
SYNTHETIC_CFL_2025_W3_CGY,,2025,3,CFL,,,0.0,12.0,1.0
SYNTHETIC_CFL_2025_W5_CGY,,2025,5,CFL,,,1.0,22.0,2.0
SYNTHETIC_CFL_2025_W6_CGY,,2025,6,CFL,,,2.0,156.0,6.0
SYNTHETIC_CFL_2025_W7_CGY,,2025,7,CFL,,,2.0,79.0,2.0
SYNTHETIC_CFL_2025_W8_CGY,,2025,8,CFL,,,0.0,7.0,1.0
SYNTHETIC_CFL_2025_W12_CGY,,2025,12,CFL,,,0.0,17.0,2.0
SYNTHETIC_CFL_2025_W13_CGY,,2025,13,CFL,,,0.0,0.0,0.0
SYNTHETIC_CFL_2025_W14_CGY,,2025,14,CFL,,,0.0,9.0,1.0
SYNTHETIC_CFL_2025_W18_CGY,,2025,18,CFL,,,0.0,58.0,1.0
SYNTHETIC_CFL_2025_W20_CGY,,2025,20,CFL,,,0.0,6.0,1.0
SYNTHETIC_CFL_2025_W21_CGY,,2025,21,CFL,,,0.0,10.0,2.0
