game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,interceptions,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_tds,passing_yards,passing_yds_lost,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_UFL_2026_4_25_STL@ORL,2026-04-25,2026,5,UFL,STL,ORL,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,,500.0,0.0,8.0,4.0,4.0,17.0,10.0,104.0,1.0,1.0,125.0,,39.0,6.0,1.0,2.0,,3.0,0.0,0.0,3.0,,,,,,
FOOTBALL_IFL_2026_5_18_TVEGASKNIGHTHAWKSG20260518L91R@TORLANDOPIRATES,2026-05-18,2026,10,IFL,Vegas Knight Hawks,Orlando Pirates,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,5.0,8.0,3.0,0.0
FOOTBALL_IFL_2026_6_6_TIOWABARNSTORMERSG202606060Q8D@TORLANDOPIRATES,2026-06-06,2026,13,IFL,Iowa Barnstormers,Orlando Pirates,,,0.0,2.0,2.0,,11.0,,,,,,0.0,17.0,,6.0,7.0,,2.0,,0.0,12.0,,,,,,
FOOTBALL_IFL_2026_6_13_TQUADCITYSTEAMWHEELERSG20260613M6TV@TIOWABARNSTORMERS,2026-06-13,2026,14,IFL,Quad City Steamwheelers,Iowa Barnstormers,,,1.0,7.0,3.0,,22.0,,,,,,0.0,27.0,,-0.8,2.0,,4.0,,0.0,-3.0,,,,,,
