game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp,kr_no
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,0.5,19.0,6.0,1.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,2.0,6.0,
