game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sh_goals,sog,to
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,6.0,,,18.0,8.0,,20.0,,14.0,4.0,,
703332113,2025-10-29,2025,1,NLL,COLORADO,VANCOUVER,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0
