game_id,date,season,week,league,away,home,conversions,def_tackles,gp,kr_no,kr_yds,lost_fumbles,receiving_tds,receiving_yards,receptions,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds,rushing_tds,rushing_yards
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,3.0,10.0,1.0,20.0,,,,,14.0,1.0,104.0,303.0,23.0,2177.0,,
SYNTHETIC_USFL_2022_W1_PIT,,2022,1,USFL,,,,,,,,,,,,,,,,,,0.0,23.0
SYNTHETIC_USFL_2022_W2_PIT,,2022,2,USFL,,,,,,,,,0.0,11.0,2.0,,,,,,,0.0,46.0
SYNTHETIC_USFL_2022_W3_PIT,,2022,3,USFL,,,,,,,,,0.0,8.0,4.0,,,,,,,0.0,68.0
SYNTHETIC_USFL_2022_W4_PIT,,2022,4,USFL,,,,,,,,,,,,,,,,,,0.0,43.0
SYNTHETIC_USFL_2022_W5_PIT,,2022,5,USFL,,,0.0,,,,,,0.0,13.0,1.0,,,,,,,0.0,22.0
SYNTHETIC_USFL_2022_W6_PIT,,2022,6,USFL,,,,,,,,,,,,,,,,,,0.0,50.0
SYNTHETIC_USFL_2022_W7_PIT,,2022,7,USFL,,,,,,,,,0.0,0.0,0.0,,,,,,,1.0,99.0
SYNTHETIC_USFL_2022_W8_PIT,,2022,8,USFL,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,12.0
SYNTHETIC_USFL_2022_W9_PIT,,2022,9,USFL,,,,,,,,1.0,0.0,3.0,1.0,,,,,,,0.0,34.0
SYNTHETIC_USFL_2022_W10_PIT,,2022,10,USFL,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,18.0
SYNTHETIC_USFL_2023_W1_MAULERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,,,,,,0.0,0.0,0.0,,,,,,,0.0,20.0
SYNTHETIC_USFL_2023_W5_MAULERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,,,,,,,,,,,,,,,,0.0,15.0
SYNTHETIC_USFL_2023_W6_MAULERS,2023-05-20,2023,6,USFL,SHOWBOATS,MAULERS,,,,,,,,,,,,,,,,,14.0
SYNTHETIC_USFL_2023_W8_MAULERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,,,,,,,0.0,0.0,0.0,,,,,,,0.0,41.0
SYNTHETIC_USFL_2023_W11_MAULERS,,2023,11,USFL,,,,,,,,,,,,,,,,,,,22.0
SYNTHETIC_USFL_2023_W12_MAULERS,,2023,12,USFL,,,,,,,,,,9.0,3.0,,,,,,,,7.0
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,,,,,0.0,13.0,1.0,,,,,,,0.0,38.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,,,,,,,,,,,,,,0.0,30.0
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,,,,,,,,,,,,,,1.0,16.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,,,,,,,,,,,,,,0.0,3.0
69,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,,,,,,,0.0,11.0,2.0,,,,,,,0.0,26.0
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,,,,,,,,,,,,,,0.0,51.0
