game_id,date,season,week,league,away,home,assist_tackles,def_solo,def_tot,int_avg,int_long,int_tds,int_yards,interceptions_made,lost_fumbles,solo_tackles
FOOTBALL_AAF_2019_2_10_SL@ARI,2019-02-10,2019,1,AAF,SL,ARI,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0
FOOTBALL_AAF_2019_2_16_SL@BIR,2019-02-16,2019,2,AAF,SL,BIR,1.0,,,0.0,0.0,0.0,0.0,0.0,,2.0
FOOTBALL_AAF_2019_3_16_MEM@SL,2019-03-16,2019,6,AAF,MEM,SL,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0
FOOTBALL_AAF_2019_3_23_SL@SA,2019-03-23,2019,7,AAF,SL,SA,2.0,,,0.0,0.0,0.0,0.0,0.0,,1.0
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,2.0,2.0,,,,,,,
SYNTHETIC_USFL_2022_W2_HOU,,2022,2,USFL,,,,,,,,,,,0.0,
SYNTHETIC_USFL_2022_W3_HOU,,2022,3,USFL,,,,,,,,,,,0.0,
SYNTHETIC_USFL_2022_W4_HOU,,2022,4,USFL,,,,,,,,,,,0.0,
SYNTHETIC_USFL_2022_W6_HOU,,2022,6,USFL,,,,,,,,,,,0.0,
SYNTHETIC_USFL_2022_W8_HOU,,2022,8,USFL,,,,,,,,,,,0.0,
