game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_yds,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,16.0,18.0,134.0,45.0,16.0,220.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,9.0,3.0,23.0,15.0,9.0,61.0
