game_id,date,season,week,league,away,home,blocks,d_points,goals,o_points,plus_minus,touches
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,,19.0,1.0,9.0,1.0,6.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,1.0,15.0,2.0,2.0,3.0,4.0
