game_id,date,season,week,league,away,home,games_played,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,potw_offense,pr_avg,pr_tds,punt_returns,receiving_yards,rushing_yards,total_yards,yards_per_game
FOOTBALL_NAL_2021_jersey-flight_SEASON_TOTAL,2021-12-31,,0,,,JERSEY FLIGHT,8.0,11.0,0.0,0.0,11.0,11.0,,0.0,0.0,32.0,10.0,22.0,11.0,1.4
FOOTBALL_IFL_2017_SEASON_TOTAL,,2017,1,IFL,,,,,,,,,2.0,,,,,,,
