game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,interceptions_made,kick_returns,kr_avg,kr_tds,kr_yards,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
9889289,2023-06-17,2023,2,CFL,EDM,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
9889294,2023-06-25,2023,3,CFL,TOR,EDM,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,
9889295,2023-06-30,2023,4,CFL,EDM,OTT,,,,,,,,,,,,,,,,,,0.0,6.0,1.0,,,,,,,0.0,13.0,,
9889298,2023-07-06,2023,5,CFL,EDM,SSK,,,,,,,,,,,,,,,,,,0.0,31.0,1.0,,,,,,,0.0,20.0,,
9889302,2023-07-13,2023,6,CFL,HAM,EDM,,,,,,,,,,,,,,,,,,0.0,23.0,1.0,,,,,,,0.0,16.0,,
9889306,2023-07-20,2023,7,CFL,EDM,WPG,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
9889312,2023-07-29,2023,8,CFL,BC,EDM,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,,,,,,,0.0,18.0,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.0,,
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,0.0
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,,,,,,,,,,,,,,,,0.0,15.0,1.0,,,,,,,0.0,16.0,,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,,,,,,,,,,,,,,,,,0.0,7.0,1.0,,,,,,,0.0,7.0,,
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,,
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.0,,
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,1.0
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,,,,,,,,,,,,,,,,,0.0,9.0,1.0,,,,,,,0.0,9.0,,
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,,,,,,,0.0,6.0,,
FOOTBALL_AF1_2026_4_11_T602555G1168200@T584635,2026-04-11,2026,1,AF1,Minnesota Monsters,Albany Firebirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,2.0,8.0,0.0,16.0,0.0,1.0,32.0,0.0,2.0
FOOTBALL_AF1_2026_4_25_T602555G1168209@T606163,2026-04-25,2026,3,AF1,Minnesota Monsters,Michigan Arsenal,,,,,,,,,,1.0,22.0,0.0,22.0,,,,,,,,0.0,9.0,16.0,0.0,3.0,0.0,2.0,28.0,,
FOOTBALL_AF1_2026_5_3_T602555G1168214@T612138,2026-05-04,2026,4,AF1,Minnesota Monsters,Oceanside Bombers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,9.0,0.0,9.0,27.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,5.0,0.0,0.0,13.0,1.0,0.0,70.0,0.0,1.0
FOOTBALL_AF1_2026_5_22_T584637G1168386@T602555,2026-05-22,2026,7,AF1,Nashville Kats,Minnesota Monsters,,,,,,,,,,,,,,,,,,,,,,10.0,47.0,0.0,10.0,0.0,1.0,99.0,,
