game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-DC-CAR,2023-04-29,2023,1,,DC,CAR,3.0,,10.0,10.0,,1.0,10.0,,30.0,56.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,,,11.0,12.0,,2.0,12.0,,34.0,19.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,,1.0,1.0,3.0,,,3.0,,-1.0,18.0
2023-05-20-DC-TOR,2023-05-20,2023,4,,DC,TOR,,,14.0,11.0,1.0,1.0,13.0,2.0,66.0,24.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,1.0,1.0,11.0,15.0,,1.0,15.0,,1.0,138.0
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,1.0,1.0,4.0,4.0,,,4.0,,26.0,21.0
2023-07-08-BOS-DC,2023-07-08,2023,11,,BOS,DC,,2.0,11.0,12.0,1.0,,12.0,,45.0,26.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,,,11.0,11.0,,,12.0,1.0,2.0,16.0
