game_id,date,season,week,league,away,home,completions,interceptions_lost,pass_attempts,passing_yards,punt_avg,punt_long,punt_yards,punts,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_attempts,rushing_yards
FOOTBALL_CFL_2018_11_18_WPG@CGY,2018-11-18,2018,1,CFL,WPG,CGY,,,,,,,,,12.0,1.0,1.0,9.0,12.0,26.0,7.0,77.0,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,,,,,,,19.0,3.0,3.0,30.0,35.0,4.0,4.0,7.0,,
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,33.0,1.0,42.0,209.0,32.0,32.0,32.0,1.0,,,,,,,,,,
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,1.0,,3.0,11.0,,,,,,,,,,,,,1.0,6.0
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,28.0,2.0,49.0,210.0,,,,,,,,,,,,,4.0,19.0
