game_id,date,season,week,league,away,home,kick_returns,kr_avg,kr_tds,kr_yards,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards
FOOTBALL_AF1_2026_4_12_T584638G1168203@T584641,2026-04-12,2026,1,AF1,Oregon Lightning,Washington Wolfpack,,,,,10.0,11.0,0.0,0.0,0.0,19.0,2.0,,7.0,7.0,0.0,1.0,0.0,0.0,7.0
SYNTHETIC_50YARD_2026_W1_OREGONLIGHTNING,2026-05-02,2026,1,50YARD,Oregon Lightning,Michigan Arsenal,,,,,,,,,,38.0,4.0,,,,,,,,
SYNTHETIC_50YARD_2026_W2_OREGONLIGHTNING,2026-05-09,2026,2,50YARD,Oregon Lightning,Nashville Kats,,,,,,,,,1.0,107.0,10.0,,,,,,,,
FOOTBALL_AF1_2026_4_25_T584635G1168207@T584638,2026-04-26,2026,3,AF1,Albany Firebirds,Oregon Lightning,2.0,5.0,0.0,10.0,9.0,16.0,0.0,0.0,1.0,45.0,5.0,0.0,,,,,,,
FOOTBALL_AF1_2026_5_2_T584638G1168213@T606163,2026-05-02,2026,4,AF1,Oregon Lightning,Michigan Arsenal,,,,,10.0,16.0,0.0,0.0,0.0,38.0,4.0,,,,,,,,
FOOTBALL_AF1_2026_5_9_T584638G1168218@T584637,2026-05-09,2026,5,AF1,Oregon Lightning,Nashville Kats,,,,,11.0,21.0,0.0,0.0,1.0,107.0,10.0,,,,,,,,
