game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,3.0,1.0,8.0,4.0,2.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,5.0,9.0,38.0,34.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,14.0,9.0,11.0,47.0,38.0,2.0,72.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,9.0,7.0,10.0,34.0,25.0,7.0,273.0
