game_id,date,season,week,league,away,home,assists,blocks,d_points,o_points,plus_minus,touches,turnovers
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,10.0,5.0,44.0,14.0,-15.0,101.0,30.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,5.0,2.0,24.0,5.0,-3.0,41.0,10.0
