game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_num,rush_att,rush_lg,rush_yds,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,,,,,,8.0,2.0,3.0,,5.0,12.0,,,,,,,,,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,,,,,,,,3.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,,,,,,10.0,2.0,2.0,,10.0,14.0,,,,,,,,,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,,,,,,,21.0,4.0,7.0,,25.0,50.0,,,,,,,,,
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,1.0,1.0,,,,,7.0,1.0,2.0,,,7.0,,,,,,,,,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,,,,,,,16.0,4.0,8.0,,,24.0,,,,,,,,,
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,,,,,,10.0,2.0,4.0,,6.0,16.0,,,,,,,,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,,,,,,,20.0,1.0,3.0,,16.0,20.0,,,,,,,,,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,,,,,,14.0,2.0,3.0,,,25.0,,,,,,,,,
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,,,,,,,28.0,5.0,5.0,,9.0,60.0,,,,,,,,,
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,,,,,,,14.0,2.0,2.0,,1.0,20.0,,,,,,,,,
FOOTBALL_CFL_2022_10_22_TOR@MTL,2022-10-22,2022,1,CFL,TOR,MTL,,,,,,,29.0,1.0,2.0,,4.0,29.0,,,,,,,,,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,,,,,,,,2.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_16_MTL@TOR,2022-06-16,2022,1,CFL,MTL,TOR,,,,,,,21.0,2.0,3.0,,6.0,33.0,,,,,,,,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,,,,,14.0,1.0,1.0,,,14.0,,,,,,,,,
FOOTBALL_CFL_2022_6_9_MTL@CGY,2022-06-09,2022,1,CFL,MTL,CGY,,,,,,,5.0,1.0,3.0,,2.0,5.0,,,,,,,,,
FOOTBALL_CFL_2022_7_14_EDM@MTL,2022-07-14,2022,1,CFL,EDM,MTL,,,,,,,22.0,3.0,3.0,,,20.0,,,,,,,,,
FOOTBALL_CFL_2022_7_21_MTL@OTT,2022-07-21,2022,1,CFL,MTL,OTT,,,,,,,69.0,5.0,5.0,1.0,35.0,102.0,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,,,,,6.0,2.0,7.0,1.0,1.0,10.0,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,,,,27.0,1.0,2.0,,5.0,27.0,,,,,,,,,
FOOTBALL_CFL_2022_8_11_MTL@WPG,2022-08-11,2022,1,CFL,MTL,WPG,,,,,,,11.0,1.0,1.0,,6.0,11.0,,,,,,,,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,,,,16.0,2.0,4.0,,3.0,25.0,,,,,,,,,
FOOTBALL_CFL_2022_8_4_WPG@MTL,2022-08-04,2022,1,CFL,WPG,MTL,,,,,,,10.0,2.0,6.0,,,15.0,,,,,,,,,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,,,,6.0,2.0,3.0,,,10.0,,,,,,,,,
FOOTBALL_CFL_2022_9_2_OTT@MTL,2022-09-02,2022,1,CFL,OTT,MTL,,,,,,,12.0,1.0,1.0,,7.0,12.0,,,,,,,,,
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,,,,,,,10.0,2.0,2.0,,6.0,16.0,,,,,,,,,
SYNTHETIC_CFL_2022_W1_MTL,,2022,1,CFL,,,,,,0.0,5.0,1.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,,,,0.0,33.0,2.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_MTL,,2022,3,CFL,,,,,,0.0,14.0,1.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,,,,0.0,27.0,1.0,,,,,,,,,,,,,,,
6230,2022-07-14,2022,6,CFL,EDM,MTL,,,,0.0,20.0,3.0,,,,,,,,,,,,,,,
6234,2022-07-21,2022,7,CFL,MTL,OTT,,,,1.0,102.0,5.0,,,,,,,,,,,,,,,
6238,2022-07-28,2022,8,CFL,MTL,HAM,,,,1.0,10.0,2.0,,,,,,,,,,,,,,,
6242,2022-08-04,2022,9,CFL,WPG,MTL,,,,0.0,15.0,2.0,,,,,,,,,,,,,,,
6246,2022-08-11,2022,10,CFL,MTL,WPG,,,,0.0,11.0,1.0,,,,,,,,,,,,,,,
6252,2022-08-20,2022,11,CFL,HAM,MTL,,,,0.0,25.0,2.0,,,,,,,,,,,,,,,
6258,2022-09-02,2022,13,CFL,OTT,MTL,,,,0.0,12.0,1.0,,,,,,,,,,,,,,,
6262,2022-09-09,2022,14,CFL,BC,MTL,,,,0.0,16.0,2.0,,,,,,,,,,,,,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,,,,0.0,10.0,2.0,,,,,,,,,,,,,,,
6274,2022-10-01,2022,17,CFL,MTL,EDM,,,,0.0,20.0,2.0,,,,,,,,,,,,,,,
6286,2022-10-22,2022,20,CFL,TOR,MTL,,,,0.0,29.0,1.0,,,,,,,,,,,,,,,
9889285,2023-06-10,2023,1,CFL,OTT,MTL,,,,0.0,30.0,3.0,,,,,,,,,,,,,,,
9889296,2023-07-01,2023,4,CFL,WPG,MTL,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
9889301,2023-07-09,2023,5,CFL,MTL,BC,,,,0.0,15.0,1.0,,,,,,,,,,,,,,,
9889303,2023-07-14,2023,6,CFL,TOR,MTL,,,,0.0,11.0,1.0,,,,,,,,,,,,,,,
9889313,2023-07-30,2023,8,CFL,CGY,MTL,,,,0.0,11.0,1.0,,,,,,,,,,,,,,,
9889316,2023-08-05,2023,9,CFL,MTL,HAM,,,,0.0,13.0,1.0,,,,,,,,,,,,,,,
9889324,2023-08-19,2023,11,CFL,MTL,OTT,,,,0.0,51.0,1.0,,,,,,,,,,,,,,,
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0
10798018,2024-06-08,2024,1,CFL,SSK,EDM,,,,2.0,40.0,5.0,,,,,,,,,,,,,,,
10798145,2024-05-25,2024,2,CFL,SSK,EDM,,,,0.0,58.0,6.0,,,,,,,,,,,,,,,
10798026,2024-06-22,2024,3,CFL,EDM,TOR,,,,1.0,72.0,5.0,,,,,,,,,,,,,,,
10798039,2024-07-14,2024,6,CFL,OTT,EDM,,,,1.0,88.0,7.0,,,,,,,,,,,,,,,
10798040,2024-07-19,2024,7,CFL,EDM,OTT,,,,0.0,29.0,3.0,,,,,,,,,,,,,,,
10798047,2024-07-28,2024,8,CFL,HAM,EDM,,,,0.0,28.0,2.0,,,,,,,,,,,,,,,
10798050,2024-08-03,2024,9,CFL,EDM,SSK,,,,0.0,22.0,3.0,,,,,,,,,,,,,,,
10798055,2024-08-11,2024,10,CFL,BC,EDM,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
10798058,2024-08-17,2024,11,CFL,EDM,HAM,,,,0.0,44.0,1.0,,,,,,,,,,,,,,,
10798063,2024-08-25,2024,12,CFL,EDM,MTL,,,,0.0,35.0,5.0,,,,,,,,,,,,,,,
10798067,2024-09-02,2024,13,CFL,EDM,CGY,,,,0.0,16.0,2.0,,,,,,,,,,,,,,,
10798071,2024-09-07,2024,14,CFL,CGY,EDM,,,,1.0,71.0,2.0,,,,,,,,,,,,,,,
11824068,2025-07-17,2025,7,CFL,TOR,MTL,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
11824077,2025-08-01,2025,9,CFL,TOR,WPG,,,,0.0,40.0,3.0,,,,,,,,,,,,,,,
