game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_num,rush_att,rush_lg,rush_yds,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,,,,,25.0,5.0,7.0,2.0,12.0,70.0,,,,,,2.0,12.0,2.0,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,,,,,24.0,2.0,2.0,,8.0,34.0,,,,,,,,,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,,,,,7.0,7.0,2.0,9.0,83.0,,,,,,2.0,12.0,2.0,
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,,,,,68.0,3.0,3.0,,47.0,116.0,,,,,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,,,,9.0,1.0,4.0,,1.0,9.0,,,,,,,,,
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,,,,,,36.0,5.0,7.0,1.0,8.0,103.0,1.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,,,,,,14.0,1.0,2.0,,6.0,14.0,,,,,,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,,,,,,8.0,2.0,2.0,,3.0,14.0,,,,,,,,,
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,,,,,,,16.0,4.0,5.0,,18.0,47.0,,,,,,,,,
FOOTBALL_CFL_2019_9_14_HAM@CGY,2019-09-14,2019,1,CFL,HAM,CGY,,,,,,,11.0,1.0,2.0,,4.0,11.0,,,,,,,,,
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,,,,,,11.0,5.0,6.0,,3.0,36.0,,,,,,,,,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,,,,,17.0,3.0,4.0,,7.0,34.0,,,,,,,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,,,,,,,9.0,1.0,3.0,,6.0,9.0,,,,,,,,,
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,1.0,1.0,,,,,11.0,1.0,2.0,,,11.0,,,,,,,,,
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,,,,,,14.0,3.0,3.0,,8.0,23.0,,,,,,,,,
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,,,,,,16.0,4.0,7.0,,11.0,28.0,,1.0,-1.0,-1.0,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,1.0,1.0,,,,,29.0,4.0,5.0,,22.0,59.0,,,,,,,,,
