game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sog,to
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,3.0,,,12.0,,,8.0,,3.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,2.0,,,16.0,,,4.0,,2.0,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
