game_id,date,season,week,league,away,home,def_ff,def_pd,def_sacks,def_tackles,gp,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,1.0,0.5,20.0,8.0,10.0,103.0,51.0,145.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,,,7.0,1.0,,,,
