game_id,date,season,week,league,away,home,extra_point,field_goal_yards,interceptions_made,kick_gp,kick_pts,made_19,missed,sacks,tackles
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,,,,14.0,128.0,,,,
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,,,,18.0,168.0,,,,
SYNTHETIC_CFL_2022_W1_MTL,,2022,1,CFL,,,,49.0,,,,2.0,1.0,,
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,,119.0,,,,,1.0,,
SYNTHETIC_CFL_2022_W3_MTL,,2022,3,CFL,,,,132.0,,,,,0.0,,
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,,56.0,,,,,0.0,,
SYNTHETIC_CFL_2022_W6_MTL,2022-07-14,2022,6,CFL,EDM,MTL,,19.0,,,,,0.0,,
SYNTHETIC_CFL_2022_W7_MTL,2022-07-21,2022,7,CFL,MTL,OTT,,49.0,,,,,0.0,,
SYNTHETIC_CFL_2022_W8_MTL,2022-07-28,2022,8,CFL,MTL,HAM,,77.0,,,,,1.0,,
SYNTHETIC_CFL_2022_W9_MTL,2022-08-04,2022,9,CFL,WPG,MTL,,73.0,,,,,1.0,,
SYNTHETIC_CFL_2022_W10_MTL,2022-08-11,2022,10,CFL,MTL,WPG,,86.0,,,,,1.0,,
SYNTHETIC_CFL_2022_W11_MTL,2022-08-20,2022,11,CFL,HAM,MTL,,74.0,,,,,0.0,,
SYNTHETIC_CFL_2022_W13_MTL,2022-09-02,2022,13,CFL,OTT,MTL,,103.0,,,,,0.0,,
SYNTHETIC_CFL_2022_W14_MTL,2022-09-09,2022,14,CFL,BC,MTL,,64.0,,,,,0.0,,
SYNTHETIC_CFL_2022_W16_MTL,2022-09-23,2022,16,CFL,HAM,MTL,,104.0,,,,,0.0,,
SYNTHETIC_CFL_2022_W17_MTL,2022-10-01,2022,17,CFL,MTL,EDM,,52.0,,,,,2.0,,
SYNTHETIC_CFL_2022_W19_MTL,2022-10-14,2022,19,CFL,MTL,OTT,,68.0,,,,,0.0,,
SYNTHETIC_CFL_2022_W20_MTL,2022-10-22,2022,20,CFL,TOR,MTL,,115.0,,,,,0.0,,
SYNTHETIC_CFL_2023_W1_MTL,2023-06-10,2023,1,CFL,OTT,MTL,1.0,171.0,,,,,,,
SYNTHETIC_CFL_2023_W3_MTL,2023-06-23,2023,3,CFL,MTL,HAM,5.0,14.0,,,,,,,
SYNTHETIC_CFL_2023_W4_MTL,2023-07-01,2023,4,CFL,WPG,MTL,,27.0,,,,,1.0,,
SYNTHETIC_CFL_2023_W5_MTL,2023-07-09,2023,5,CFL,MTL,BC,1.0,149.0,,,,,,,
SYNTHETIC_CFL_2023_W6_MTL,2023-07-14,2023,6,CFL,TOR,MTL,2.0,74.0,,,,,,,
SYNTHETIC_CFL_2023_W8_MTL,2023-07-30,2023,8,CFL,CGY,MTL,,205.0,,,,,1.0,,
SYNTHETIC_CFL_2023_W9_MTL,2023-08-05,2023,9,CFL,MTL,HAM,1.0,138.0,,,,,,,
SYNTHETIC_CFL_2023_W10_MTL,2023-08-11,2023,10,CFL,SSK,MTL,5.0,70.0,,,,,,,
SYNTHETIC_CFL_2023_W11_MTL,2023-08-19,2023,11,CFL,MTL,OTT,2.0,60.0,,,,,,,
SYNTHETIC_CFL_2023_W12_MTL,2023-08-24,2023,12,CFL,MTL,WPG,2.0,42.0,,,,,,,
SYNTHETIC_CFL_2023_W13_MTL,2023-09-02,2023,13,CFL,BC,MTL,,121.0,0.0,,,,1.0,0.0,0.0
SYNTHETIC_CFL_2023_W14_MTL,2023-09-09,2023,14,CFL,MTL,TOR,1.0,10.0,,,,,,,
SYNTHETIC_CFL_2023_W15_MTL,2023-09-15,2023,15,CFL,TOR,MTL,2.0,49.0,,,,,2.0,,
SYNTHETIC_CFL_2023_W16_MTL,2023-09-23,2023,16,CFL,MTL,CGY,3.0,80.0,,,,,,,
SYNTHETIC_CFL_2023_W17_MTL,2023-09-30,2023,17,CFL,MTL,OTT,4.0,48.0,,,,,3.0,,
SYNTHETIC_CFL_2023_W21_MTL,2023-10-28,2023,21,CFL,HAM,MTL,,59.0,,,,,2.0,,
SYNTHETIC_CFL_2024_W1_MTL,2024-06-06,2024,1,CFL,MTL,WPG,2.0,41.0,,,,,,,
SYNTHETIC_CFL_2024_W2_MTL,2024-05-25,2024,2,CFL,TOR,MTL,2.0,53.0,,,,,,,
SYNTHETIC_CFL_2024_W3_MTL,2024-06-20,2024,3,CFL,OTT,MTL,5.0,125.0,,,,,,,
SYNTHETIC_CFL_2024_W4_MTL,2024-06-28,2024,4,CFL,MTL,TOR,3.0,69.0,,,,,,,
