game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,4.0,17.0,1.0,285.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,8.0,29.0,4.0,480.0
