game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,fumbles,fumbles_lost,interceptions,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,,200.0,,,0.0,5.0,1.0,4.0,9.0,9.0,40.0,0.0,0.0,0.0,9.0,0.0,,,,,,2.0,12.0,7.0,0.0,0.0,16.0,,,,
FOOTBALL_NAL_2025_3_28_T434514G979258@T425356,2025-03-28,2025,4,NAL,Columbus Lions,Carolina Cobras,,0.0,,,0.0,2.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.0,0.0,2.0,0.0,0.0,5.0,,,,
FOOTBALL_NAL_2025_4_10_T425356G979264@T425358,2025-04-11,2025,6,NAL,Carolina Cobras,Idaho Horsemen,,435.0,,,3.0,23.0,10.0,13.0,16.0,8.0,13.0,1.0,0.0,0.0,80.0,1.0,,,,,,4.0,8.0,13.0,0.0,2.0,47.0,,,,
FOOTBALL_NAL_2025_4_19_T425356G979270@T425362,2025-04-19,2025,7,NAL,Carolina Cobras,Wheeling Miners,,441.0,,,1.0,34.0,15.0,19.0,0.0,11.0,57.0,0.0,1.0,29.0,171.0,0.0,,,,,,2.0,0.0,13.0,0.0,1.0,30.0,,,,
FOOTBALL_IFL_2026_5_24_TARIZONARATTLERSG2026052419QZ@TVEGASKNIGHTHAWKS,2026-05-24,2026,,IFL,Arizona Rattlers,Vegas Knight Hawks,0.0,,,,,,,,,,,,,,,,15.0,15.0,0.0,15.0,1.0,,,,,,,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_3_28_TSANDIEGOSTRIKEFORCEG20260328BGUR@TARIZONARATTLERS,2026-03-28,2026,3,IFL,San Diego Strike Force,Arizona Rattlers,,,,,,,,,,,,,,,,,17.7,36.0,1.0,53.0,3.0,,,,,,,,,,
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,,,,,,,,,,,,,,,,,8.0,11.0,0.0,32.0,4.0,,,,,,,,,,
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,,,,,,,,,,,,,,,,,7.0,7.0,0.0,7.0,1.0,,,,,,,,,,
FOOTBALL_IFL_2026_4_19_TARIZONARATTLERSG20260419RLTY@TNAZWRANGLERS,2026-04-19,2026,6,IFL,Arizona Rattlers,NAZ Wranglers,,,,,,,,,,,,,,,,,11.5,15.0,0.0,23.0,2.0,,,,,,,,,,
FOOTBALL_IFL_2026_4_25_TTULSAOILERSG20260425FEQM@TARIZONARATTLERS,2026-04-25,2026,7,IFL,Tulsa Oilers,Arizona Rattlers,,,,,,,,,,,,,,,,,5.0,5.0,1.0,5.0,1.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_3_TARIZONARATTLERSG202605032RVU@TVEGASKNIGHTHAWKS,2026-05-03,2026,8,IFL,Arizona Rattlers,Vegas Knight Hawks,1.0,,,,,,,,,,,,,,,,11.8,20.0,1.0,47.0,4.0,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,,,,,,,,,,,,,,,,,14.0,18.0,0.0,28.0,2.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_18_TARIZONARATTLERSG20260518E0UH@TNEWMEXICOCHUPACABRAS,2026-05-18,2026,10,IFL,Arizona Rattlers,New Mexico Chupacabras,,,,,,,,,,,,,,,,,34.0,34.0,0.0,34.0,1.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_30_TNAZWRANGLERSG20260530ZDI0@TARIZONARATTLERS,2026-05-30,2026,12,IFL,NAZ Wranglers,Arizona Rattlers,1.0,,,,,,,,,,,,,,,,14.0,29.0,2.0,56.0,4.0,4.0,4.0,1.0,,0.0,4.0,0.0,1.0,,
FOOTBALL_IFL_2026_6_14_TFISHERSFREIGHTG20260614HYJQ@TARIZONARATTLERS,2026-06-14,2026,14,IFL,Fishers Freight,Arizona Rattlers,0.0,,,,,,,,,,,,,,,,12.8,28.0,1.0,64.0,5.0,,,,,,,1.0,1.0,,
FOOTBALL_IFL_2026_6_20_TARIZONARATTLERSG20260620GMCA@TTUCSONSUGARSKULLS,2026-06-20,2026,15,IFL,Arizona Rattlers,Tucson Sugar Skulls,,,,,,,,,,,,,,,,,12.3,25.0,1.0,37.0,3.0,,,,,,,,,,
FOOTBALL_IFL_2026_6_27_TNEWMEXICOCHUPACABRASG20260627NH6Q@TARIZONARATTLERS,2026-06-27,2026,16,IFL,New Mexico Chupacabras,Arizona Rattlers,,,,,,,,,,,,,,,,,11.0,13.0,0.0,22.0,2.0,5.0,5.0,1.0,,0.0,5.0,,,,
FOOTBALL_IFL_2026_7_11_TTUCSONSUGARSKULLSG20260711B8WE@TARIZONARATTLERS,2026-07-11,2026,16,IFL,Tucson Sugar Skulls,Arizona Rattlers,0.0,,1.0,1.0,,,,,,,,,,,,,9.5,12.0,0.0,38.0,4.0,,,,,,,2.0,2.0,,
FOOTBALL_IFL_2026_7_6_TARIZONARATTLERSG20260706J8KX@TSANDIEGOSTRIKEFORCE,2026-07-06,2026,17,IFL,Arizona Rattlers,San Diego Strike Force,1.0,,,,,,,,,,,,,,,,17.5,18.0,0.0,35.0,2.0,,,,,,,0.0,1.0,,
