game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_2023_W1_BREAKERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,1.0,,,,3.0,1.0
SYNTHETIC_USFL_2023_W2_BREAKERS,2023-04-22,2023,2,USFL,BREAKERS,GAMBLERS,,,,3.0,31.0,2.0
SYNTHETIC_USFL_2023_W3_BREAKERS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,,,1.0,25.0,4.0
SYNTHETIC_USFL_2023_W4_BREAKERS,2023-05-07,2023,4,USFL,GENERALS,BREAKERS,,,1.0,0.0,17.0,3.0
SYNTHETIC_USFL_2023_W5_BREAKERS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,,,1.0,1.0,17.0,2.0
SYNTHETIC_USFL_2023_W6_BREAKERS,2023-05-21,2023,6,USFL,STARS,BREAKERS,,,,2.0,10.0,0.0
SYNTHETIC_USFL_2023_W7_BREAKERS,2023-05-27,2023,7,USFL,BREAKERS,STALLIONS,,,1.0,0.0,24.0,3.0
SYNTHETIC_USFL_2023_W8_BREAKERS,2023-06-04,2023,8,USFL,BREAKERS,PANTHERS,,,,1.0,20.0,4.0
SYNTHETIC_USFL_2023_W9_BREAKERS,2023-06-10,2023,9,USFL,SHOWBOATS,BREAKERS,,1.0,2.0,3.0,3.0,5.0
SYNTHETIC_USFL_2023_W10_BREAKERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,,,,1.0,10.0,4.0
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,,,,47.0,1.0
