game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pr_no,pr_td,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,10.0,8.0,148.0,,,24.0,1.0,174.0,11.0,21.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,7.0,12.0,19.0,374.0,1.0,1.0,22.0,,186.0,3.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,18.0,614.0,,,9.0,,51.0,,
