game_id,date,season,week,league,away,home,1pt_conversion,conversions
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,1.0
6,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,1.0,
9,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,1.0
