game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,sacks,tackles
LIGHTNING-WOLFPACK-MAR22,,,2,,,,,,,,,,,,,,,,,10.0,1.0,,
CORPUSCHRISTI-WASHINGTON-0413,2025-04-13,2025,5,AF1,CORPUS CHRISTI,WASHINGTON,,,,,,,,,,,,,2.0,94.0,4.0,,
WASHINGTON-OREGON-0504,2025-05-04,2025,8,AF1,OREGON,WASHINGTON,,,,,,,,,,,,,0.0,10.0,2.0,,
BILLINGS-WASHINGTON-0510,2025-05-10,2025,9,AF1,WASHINGTON,BILLINGS,,,,,,,,,,,,,0.0,19.0,3.0,,
WASHINGTON-OREGON-0518,2025-05-18,2025,10,AF1,OREGON,WASHINGTON,,,,,,,,,,,,,0.0,26.0,3.0,,
WASHINGTON-SWKANSAS-05-25,2025-05-25,2025,11,AF1,SW KANSAS,WASHINGTON,,,,,,,,,,,,,0.0,34.0,4.0,,
WASHINGTON-ALBANY-0614,2025-06-14,2025,14,AF1,ALBANY,WASHINGTON,,,,,,,,,,,,,1.0,57.0,4.0,,
FOOTBALL_AF1_2026_4_12_T584638G1168203@T584641,2026-04-12,2026,1,AF1,Oregon Lightning,Washington Wolfpack,,,,,,,,,16.0,40.0,0.0,0.0,0.0,62.0,4.0,,
FOOTBALL_AF1_2026_4_25_T584641G1168210@T584637,2026-04-25,2026,3,AF1,Washington Wolfpack,Nashville Kats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,68.0,8.0,0.0,1.0
FOOTBALL_AF1_2026_5_2_T584635G1168211@T584641,2026-05-02,2026,4,AF1,Albany Firebirds,Washington Wolfpack,,,,,,,,,8.0,29.0,0.0,0.0,3.0,74.0,9.0,,
FOOTBALL_AF1_2026_5_9_T584641G1168216@T584761,2026-05-09,2026,5,AF1,Washington Wolfpack,Beaumont Renegades,,,,,,,,,5.0,5.0,0.0,0.0,0.0,5.0,1.0,,
