game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sh_goals,sog,to
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,,,,1.0,,,,,,,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,7.0,,,10.0,13.0,,2.0,,20.0,1.0,4.0,,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,28.0,,,18.0,20.0,,4.0,,48.0,4.0,4.0,2.0,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0
