game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kr_avg,kr_tds,kr_yards,passing_tds,passing_yards,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rushing_tds,rushing_yards,sacks,tackles
STORM-FIREBIRDS,2025-03-21,2025,2,AF1,SW KANSAS,ALBANY,,,,,,,,,0.0,,,,,0.0,9.0,,,,,,,,,1.0,32.0,,
CORPUSCHRISTI-SWKANSAS-0419,2025-04-19,2025,6,AF1,SW KANSAS,CORPUS CHRISTI,,,,,,,,,,,,,,,,,,,,1.0,11.0,1.0,,,,,
WASHINGTON-SWKANSAS-05-25,2025-05-25,2025,11,AF1,SW KANSAS,WASHINGTON,,,,,,,,,0.0,,,,,2.0,101.0,,,,,,,,,0.0,23.0,,
SALINA-KANSAS-0607,2025-06-07,2025,13,AF1,SW KANSAS,SALINA,,,,,,,,,,,,,,,,,,,,0.0,21.0,1.0,,1.0,4.0,,
SWKANSAS-SALINA-0615,2025-06-15,2025,14,AF1,SALINA,SW KANSAS,,,,,,,,,,,,,,,,,,,,1.0,55.0,4.0,,0.0,7.0,,
FOOTBALL_AF1_2026_4_12_T606163G1168202@T584747,2026-04-12,2026,1,AF1,Michigan Arsenal,Kentucky Barrels,,,,,,,,,,1.0,16.0,0.0,16.0,,,14.0,18.0,0.0,0.0,2.0,68.0,5.0,0.0,,,,
FOOTBALL_AF1_2026_4_17_T606163G1168206@T584637,2026-04-18,2026,2,AF1,Michigan Arsenal,Nashville Kats,,,,,,,,,,,,,,,,13.0,26.0,0.0,0.0,2.0,141.0,11.0,,,,,
FOOTBALL_AF1_2026_4_25_T602555G1168209@T606163,2026-04-25,2026,3,AF1,Minnesota Monsters,Michigan Arsenal,,,,,,,,,,,,,,,,8.0,11.0,0.0,0.0,0.0,15.0,2.0,,,,,
FOOTBALL_AF1_2026_5_9_T602555G1168217@T606163,2026-05-09,2026,5,AF1,Minnesota Monsters,Michigan Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,1.0
FOOTBALL_AF1_2026_5_16_T584635G1168219@T606163,2026-05-16,2026,6,AF1,Albany Firebirds,Michigan Arsenal,,,,,,,,,,1.0,1.0,0.0,1.0,,,14.0,25.0,0.0,0.0,1.0,70.0,5.0,0.0,,,,
FOOTBALL_AF1_2026_5_23_T606163G1168385@T584638,2026-05-24,2026,7,AF1,Michigan Arsenal,Oregon Lightning,,,,,,,,,,,,,,,,11.0,24.0,0.0,0.0,1.0,65.0,6.0,,,,,
