game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_runouts,match_played
cricket-t20i-2020-02-04-1214763,2020-02-04,2020,1,T20I,Oman,Germany,35.0,1.0,0.0,3.0,14.0,0.0,,1.0
cricket-t20i-2020-02-05-1214764,2020-02-05,2020,1,T20I,Oman,Germany,9.0,0.0,0.0,3.0,3.0,0.0,,1.0
cricket-t20i-2020-02-07-1214765,2020-02-07,2020,1,T20I,Oman,Germany,11.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0
cricket-t20i-2020-02-08-1214766,2020-02-08,2020,1,T20I,Oman,Germany,41.0,0.0,0.0,3.0,17.0,0.0,1.0,1.0
cricket-t20i-2022-03-22-1306391,2022-03-22,2022,1,T20I,United Arab Emirates,Oman,2.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
cricket-t20i-2022-03-26-1306396,2022-03-26,2022,1,T20I,Oman,Qatar,33.0,0.0,0.0,5.0,23.0,0.0,1.0,1.0
cricket-t20i-2022-06-17-1320192,2022-06-17,2022,1,T20I,Oman,United Arab Emirates,13.0,0.0,0.0,3.0,7.0,0.0,,1.0
cricket-t20i-2022-06-19-1320199,2022-06-19,2022,1,T20I,Oman,Qatar,2.0,0.0,0.0,1.0,0.0,0.0,,1.0
cricket-t20i-2022-06-20-1320202,2022-06-20,2022,1,T20I,Oman,Singapore,15.0,0.0,0.0,1.0,5.0,0.0,,1.0
cricket-t20i-2022-06-22-1320206,2022-06-22,2022,1,T20I,Malaysia,Oman,21.0,0.0,0.0,4.0,8.0,0.0,2.0,1.0
