game_id,date,season,week,league,away,home,gp,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,4.0,2.0,14.0,5.0,22.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,5.0,3.0,41.0,,
