game_id,date,season,week,league,away,home,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_yds
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,42.0,28.0,2.0,41.0,5.0,1.0,1.0,311.0,,,
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,30.0,24.0,,30.0,27.0,4.0,1.0,252.0,1.0,,
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,36.0,26.0,1.0,38.0,28.0,6.0,2.0,282.0,,,
FOOTBALL_CFL_2016_6_30_TOR@SSK,2016-06-30,2016,1,CFL,TOR,SSK,22.0,13.0,,,7.0,2.0,2.0,186.0,1.0,19.0,19.0
FOOTBALL_CFL_2016_7_13_OTT@TOR,2016-07-13,2016,1,CFL,OTT,TOR,32.0,24.0,,34.0,18.0,4.0,1.0,249.0,2.0,12.0,13.0
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,34.0,29.0,,,9.0,1.0,3.0,235.0,5.0,10.0,15.0
FOOTBALL_CFL_2016_7_7_TOR@BC,2016-07-07,2016,1,CFL,TOR,BC,32.0,23.0,,38.0,7.0,2.0,1.0,283.0,1.0,1.0,1.0
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,29.0,24.0,1.0,31.0,19.0,2.0,1.0,213.0,3.0,3.0,5.0
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,41.0,31.0,2.0,65.0,22.0,3.0,3.0,386.0,,,
FOOTBALL_CFL_2017_10_14_TOR@EDM,2017-10-14,2017,1,CFL,TOR,EDM,42.0,32.0,1.0,34.0,17.0,2.0,1.0,362.0,,,
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,43.0,32.0,1.0,55.0,16.0,2.0,1.0,423.0,,,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,39.0,29.0,1.0,32.0,,,2.0,341.0,1.0,5.0,5.0
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,39.0,28.0,1.0,32.0,9.0,1.0,1.0,266.0,,,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,32.0,19.0,,,12.0,1.0,1.0,297.0,,,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,34.0,26.0,,34.0,,,3.0,341.0,,,
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,41.0,32.0,,,21.0,3.0,1.0,506.0,1.0,4.0,4.0
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,45.0,30.0,1.0,44.0,25.0,4.0,1.0,327.0,,,
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,46.0,27.0,2.0,38.0,6.0,2.0,,330.0,,,
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,55.0,40.0,,34.0,6.0,1.0,2.0,367.0,1.0,9.0,9.0
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,38.0,28.0,,45.0,30.0,5.0,3.0,386.0,1.0,1.0,1.0
FOOTBALL_CFL_2017_7_8_TOR@OTT,2017-07-08,2017,1,CFL,TOR,OTT,41.0,27.0,,,16.0,2.0,2.0,366.0,,,
FOOTBALL_CFL_2017_8_19_MTL@TOR,2017-08-19,2017,1,CFL,MTL,TOR,43.0,35.0,1.0,,7.0,1.0,4.0,377.0,,,
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,34.0,22.0,,39.0,19.0,3.0,,220.0,,,
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,26.0,15.0,1.0,30.0,18.0,3.0,1.0,139.0,,,
FOOTBALL_CFL_2017_9_16_EDM@TOR,2017-09-16,2017,1,CFL,EDM,TOR,32.0,22.0,1.0,36.0,25.0,3.0,1.0,224.0,,,
FOOTBALL_CFL_2017_9_23_MTL@TOR,2017-09-23,2017,1,CFL,MTL,TOR,24.0,18.0,,45.0,7.0,1.0,1.0,182.0,,,
FOOTBALL_CFL_2017_9_30_TOR@HAM,2017-09-30,2017,1,CFL,TOR,HAM,38.0,25.0,1.0,31.0,27.0,4.0,3.0,330.0,1.0,10.0,10.0
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,47.0,34.0,1.0,24.0,5.0,1.0,2.0,325.0,3.0,9.0,23.0
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,37.0,22.0,1.0,46.0,24.0,3.0,,233.0,1.0,8.0,8.0
FOOTBALL_CFL_2018_6_23_CGY@TOR,2018-06-23,2018,1,CFL,CGY,TOR,17.0,12.0,,8.0,14.0,3.0,,74.0,,,
