game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,3.0,2.0,,2.0,,5.0,7.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,,3.0,47.0,,16.0,23.0,3.0
