game_id,date,season,week,league,away,home,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_pts
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,68.0,6.0,6.0,110.0,,383.0,
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,63.0,3.0,3.0,39.0,,184.0,
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,72.0,5.0,5.0,66.0,,294.0,
FOOTBALL_CFL_2016_11_13_EDM@HAM,2016-11-13,2016,1,CFL,EDM,HAM,94.0,4.0,3.0,22.0,,235.0,1.0
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,63.0,4.0,4.0,68.0,1.0,207.0,
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,64.0,6.0,6.0,117.0,,375.0,
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,70.0,6.0,6.0,105.0,,394.0,1.0
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,71.0,3.0,3.0,44.0,,199.0,
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,73.0,5.0,5.0,113.0,,332.0,
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,70.0,6.0,6.0,112.0,,373.0,
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,72.0,4.0,4.0,86.0,,236.0,
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,75.0,7.0,7.0,124.0,,456.0,
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,80.0,6.0,5.0,100.0,,426.0,1.0
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,56.0,2.0,2.0,14.0,,106.0,1.0
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,78.0,3.0,3.0,50.0,,206.0,
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,95.0,3.0,2.0,12.0,,196.0,1.0
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,70.0,6.0,6.0,132.0,,371.0,
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,64.0,5.0,5.0,80.0,,291.0,
FOOTBALL_CFL_2016_9_5_EDM@CGY,2016-09-05,2016,1,CFL,EDM,CGY,84.0,5.0,3.0,81.0,1.0,355.0,3.0
