game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,16.0,70.0,4.0,529.0,224.0,16.0,4.0,1373.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,7.0,11.0,1.0,116.0,116.0,7.0,3.0,623.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,8.0,23.0,,180.0,114.0,8.0,,490.0
