game_id,date,season,week,league,away,home,def_fr,def_pd,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,2.0,3.0,10.0,51.0,12.0,701.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,,11.0,57.0,7.0,688.0
