game_id,date,season,week,league,away,home,dst_touchdown,extra_point,field_goal_yards,interceptions_made,missed,points_against,sacks
89,2026-03-28,2026,1,UFL,HOUSTON GAMBLERS,DALLAS RENEGADES,1.0,3.0,118.0,2.0,2.0,17.0,3.0
94,2026-04-07,2026,2,UFL,ST. LOUIS BATTLEHAWKS,DALLAS RENEGADES,,2.0,48.0,2.0,1.0,15.0,1.0
97,2026-04-12,2026,3,UFL,COLUMBUS AVIATORS,DALLAS RENEGADES,1.0,4.0,,2.0,,23.0,3.0
100,2026-04-17,2026,4,UFL,DALLAS RENEGADES,COLUMBUS AVIATORS,,2.0,,0.0,,28.0,2.0
106,2026-04-26,2026,5,UFL,LOUISVILLE KINGS,DALLAS RENEGADES,,1.0,,0.0,,35.0,3.0
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,,,1.0,2.0,24.0,3.0
113,2026-05-09,2026,7,UFL,DALLAS RENEGADES,BIRMINGHAM STALLIONS,,2.0,35.0,1.0,1.0,21.0,1.0
115,2026-05-15,2026,8,UFL,ORLANDO STORM,DALLAS RENEGADES,,3.0,31.0,0.0,,31.0,0.0
