game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,targets
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,,,0.0,32.0,2.0,,,2.0
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,,,1.0,11.0,1.0,,,1.0
FOOTBALL_AAF_2019_3_31_ATL@BIR,2019-03-31,2019,8,AAF,ATL,BIR,,,0.0,0.0,1.0,,,3.0
SYNTHETIC_USFL_2022_W1_NJ,,2022,1,USFL,,,,,1.0,32.0,3.0,,,
SYNTHETIC_USFL_2022_W2_NJ,,2022,2,USFL,,,,,0.0,19.0,2.0,,,
SYNTHETIC_USFL_2022_W3_NJ,,2022,3,USFL,,,,,0.0,4.0,1.0,,,
SYNTHETIC_USFL_2022_W7_NJ,,2022,7,USFL,,,,0.0,0.0,29.0,3.0,,,
SYNTHETIC_USFL_2022_W8_NJ,,2022,8,USFL,,,,0.0,0.0,23.0,2.0,,,
SYNTHETIC_USFL_2022_W9_NJ,,2022,9,USFL,,,,0.0,0.0,15.0,1.0,,,
SYNTHETIC_USFL_2022_W10_NJ,,2022,10,USFL,,,,,0.0,0.0,0.0,,,
SYNTHETIC_USFL_2022_W11_NJ,,2022,11,USFL,,,,,0.0,10.0,1.0,,,
SYNTHETIC_USFL_2023_W1_GENERALS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,,0.0,40.0,3.0,,,
SYNTHETIC_USFL_2023_W5_GENERALS,2023-05-14,2023,5,USFL,STARS,GENERALS,,,0.0,24.0,1.0,,,
4,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,,0.0,23.0,2.0,,,
8,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,,,0.0,0.0,0.0,,,
11,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,,,0.0,8.0,2.0,,,
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,1.0,,0.0,13.0,1.0,,,
18,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,,1.0,1.0,1.0,0.0,4.0,
22,2024-05-04,2024,6,UFL,BATTLEHAWKS,ROUGHNECKS,,,0.0,0.0,0.0,,,
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,,0.0,0.0,0.0,,,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,,1.0,2.0,1.0,,,
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,,,0.0,0.0,0.0,,,
40,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,,0.0,18.0,1.0,,,
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,1.0,17.0,3.0,,,
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,0.0,44.0,2.0,,,
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,0.0,14.0,2.0,,,
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,0.0,6.0,1.0,,,
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,,0.0,26.0,1.0,,,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,0.0,14.0,2.0,,,
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,0.0,7.0,1.0,,,
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,0.0,18.0,3.0,,,
