game_id,date,season,week,league,away,home,interceptions_lost,intereceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
BILLINGS-OREGON,,,1,,,,,,6.0,221.0,4.0,10.0
SYNTHETIC_AF1_2025_W4_BILLINGS,2025-04-03,2025,4,AF1,BILLINGS,WASHINGTON,,,6.0,249.0,,11.0
SYNTHETIC_AF1_2025_W5_BILLINGS,2025-04-13,2025,5,AF1,BILLINGS,ALBANY,2.0,,3.0,187.0,,12.0
SYNTHETIC_AF1_2025_W6_BILLINGS,2025-04-20,2025,6,AF1,ALBANY,BILLINGS,1.0,,1.0,113.0,,1.0
SYNTHETIC_AF1_2025_W8_BILLINGS,2025-05-03,2025,8,AF1,BILLINGS,SW KANSAS,2.0,,2.0,241.0,,15.0
SYNTHETIC_AF1_2025_W9_BILLINGS,2025-05-10,2025,9,AF1,WASHINGTON,BILLINGS,,,7.0,199.0,1.0,4.0
SYNTHETIC_AF1_2025_W10_BILLINGS,2025-05-17,2025,10,AF1,BILLINGS,SW KANSAS,,,7.0,197.0,,3.0
SYNTHETIC_AF1_2025_W11_BILLINGS,2025-05-24,2025,11,AF1,SALINA,BILLINGS,,4.0,4.0,234.0,,2.0
SYNTHETIC_AF1_2025_W14_BILLINGS,2025-06-14,2025,14,AF1,OREGON,BILLINGS,,,2.0,147.0,,4.0
