game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_td,pass_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,5.0,12.0,,,,,,,,,87.0,12.0,1099.0,1.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,3.0,97.0,1.0,1.0,,5.0,3.0,34.0,67.0,9.0,924.0,1.0,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,8.0,,,1.0,,,,,,36.0,10.0,727.0,2.0,19.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,,,2.0,2.0,2.0,9.0,,,63.0,10.0,948.0,12.0,114.0
