game_id,date,season,week,league,away,home,extra_point,field_goal_yards,interceptions_made,missed,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,sacks,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm,tackles
FOOTBALL_CFL_2018_10_20_SSK@CGY,2018-10-20,2018,1,CFL,SSK,CGY,,,,,72.0,3.0,3.0,77.0,,213.0,,17.0,5.0,5.0,50.0,17.0,2.0,2.0,
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,,,82.0,5.0,5.0,90.0,,323.0,,15.0,4.0,4.0,45.0,15.0,3.0,3.0,
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,,,,,67.0,3.0,3.0,57.0,,187.0,,13.0,4.0,4.0,43.0,13.0,1.0,1.0,
FOOTBALL_CFL_2018_11_11_WPG@SSK,2018-11-11,2018,1,CFL,WPG,SSK,,,,,49.0,1.0,1.0,,,49.0,,12.0,4.0,4.0,34.0,12.0,,,
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,,,,,72.0,5.0,5.0,116.0,,333.0,,15.0,5.0,4.0,46.0,14.0,2.0,2.0,
FOOTBALL_CFL_2018_6_21_SSK@OTT,2018-06-21,2018,1,CFL,SSK,OTT,,,,,69.0,3.0,3.0,78.0,,200.0,,5.0,1.0,1.0,35.0,5.0,2.0,2.0,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,,,,,62.0,1.0,1.0,15.0,,62.0,,9.0,3.0,3.0,39.0,9.0,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,,,,,70.0,4.0,4.0,79.0,,264.0,,13.0,3.0,3.0,36.0,12.0,3.0,3.0,
FOOTBALL_CFL_2018_7_28_CGY@SSK,2018-07-28,2018,1,CFL,CGY,SSK,,,,,68.0,2.0,2.0,30.0,,125.0,,16.0,5.0,5.0,56.0,16.0,1.0,1.0,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,,,,,64.0,2.0,2.0,18.0,,125.0,,6.0,2.0,2.0,52.0,6.0,1.0,,
FOOTBALL_CFL_2018_8_19_CGY@SSK,2018-08-19,2018,1,CFL,CGY,SSK,,,,,72.0,5.0,5.0,118.0,,320.0,,20.0,6.0,6.0,43.0,20.0,2.0,2.0,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,,,72.0,4.0,4.0,125.0,,255.0,,12.0,3.0,3.0,44.0,11.0,2.0,2.0,
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,,,,,70.0,2.0,2.0,31.0,,131.0,,5.0,1.0,1.0,33.0,5.0,2.0,2.0,
FOOTBALL_CFL_2018_9_15_OTT@SSK,2018-09-15,2018,1,CFL,OTT,SSK,,,,,67.0,4.0,4.0,83.0,,245.0,,5.0,1.0,1.0,21.0,5.0,3.0,2.0,
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,,,66.0,6.0,6.0,116.0,,361.0,,12.0,3.0,3.0,56.0,12.0,3.0,3.0,
FOOTBALL_CFL_2018_9_2_WPG@SSK,2018-09-02,2018,1,CFL,WPG,SSK,,,,,71.0,5.0,5.0,65.0,,314.0,,7.0,1.0,1.0,42.0,7.0,4.0,4.0,
FOOTBALL_CFL_2018_9_30_SSK@MTL,2018-09-30,2018,1,CFL,SSK,MTL,,,,,66.0,5.0,5.0,89.0,,304.0,,8.0,2.0,2.0,35.0,8.0,3.0,2.0,
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,,,,,75.0,5.0,5.0,88.0,,330.0,,20.0,6.0,6.0,45.0,20.0,2.0,2.0,
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,,,70.0,4.0,4.0,67.0,,242.0,,9.0,2.0,2.0,42.0,9.0,3.0,3.0,
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,,,,,64.0,4.0,4.0,51.0,,216.0,,13.0,4.0,4.0,52.0,13.0,2.0,1.0,
FOOTBALL_CFL_2019_10_26_SSK@EDM,2019-10-26,2019,1,CFL,SSK,EDM,,,,,63.0,3.0,3.0,32.0,,160.0,,9.0,2.0,2.0,43.0,9.0,3.0,3.0,
FOOTBALL_CFL_2019_10_5_WPG@SSK,2019-10-05,2019,1,CFL,WPG,SSK,,,,,71.0,3.0,3.0,61.0,,203.0,,13.0,4.0,4.0,49.0,13.0,1.0,1.0,
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,,,,,67.0,1.0,1.0,23.0,,67.0,,12.0,4.0,4.0,42.0,12.0,,,
FOOTBALL_CFL_2019_11_2_EDM@SSK,2019-11-02,2019,1,CFL,EDM,SSK,,,,,67.0,4.0,4.0,62.0,,239.0,,9.0,2.0,2.0,49.0,8.0,2.0,2.0,
FOOTBALL_CFL_2019_6_13_SSK@HAM,2019-06-13,2019,1,CFL,SSK,HAM,,,,,70.0,3.0,3.0,56.0,,170.0,,5.0,1.0,1.0,19.0,4.0,2.0,1.0,
FOOTBALL_CFL_2019_6_20_SSK@OTT,2019-06-20,2019,1,CFL,SSK,OTT,,,,,63.0,6.0,6.0,95.0,,313.0,,9.0,2.0,2.0,57.0,9.0,4.0,3.0,
FOOTBALL_CFL_2019_7_1_TOR@SSK,2019-07-01,2019,1,CFL,TOR,SSK,,,,,70.0,4.0,4.0,47.0,,233.0,,14.0,4.0,4.0,45.0,14.0,2.0,2.0,
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,,,,,72.0,6.0,5.0,119.0,,407.0,,14.0,3.0,3.0,49.0,13.0,4.0,4.0,
FOOTBALL_CFL_2019_9_14_MTL@SSK,2019-09-14,2019,1,CFL,MTL,SSK,,,,,76.0,5.0,5.0,113.0,,356.0,,7.0,2.0,2.0,39.0,7.0,2.0,1.0,
FOOTBALL_CFL_2019_9_1_WPG@SSK,2019-09-01,2019,1,CFL,WPG,SSK,,,,,63.0,2.0,2.0,48.0,,125.0,,10.0,3.0,3.0,40.0,10.0,1.0,1.0,
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,,,,,66.0,6.0,6.0,77.0,,340.0,,11.0,2.0,2.0,40.0,11.0,5.0,5.0,
FOOTBALL_CFL_2019_9_7_SSK@WPG,2019-09-07,2019,1,CFL,SSK,WPG,,,,,66.0,3.0,3.0,48.0,,192.0,,3.0,1.0,1.0,15.0,3.0,,,
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,,,,,66.0,5.0,4.0,72.0,,280.0,,8.0,4.0,2.0,52.0,8.0,2.0,2.0,
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,,,,75.0,3.0,2.0,44.0,,151.0,,10.0,3.0,3.0,28.0,10.0,1.0,1.0,
FOOTBALL_CFL_2021_10_30_SSK@MTL,2021-10-30,2021,1,CFL,SSK,MTL,,,,,60.0,3.0,3.0,47.0,,178.0,,13.0,4.0,4.0,41.0,13.0,1.0,1.0,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,,,,67.0,2.0,2.0,63.0,,132.0,,13.0,4.0,4.0,52.0,13.0,1.0,1.0,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,,,72.0,5.0,5.0,83.0,,316.0,,8.0,2.0,2.0,28.0,8.0,2.0,2.0,
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,,,,51.0,2.0,2.0,28.0,,90.0,,3.0,1.0,1.0,16.0,3.0,,,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,,,,71.0,5.0,4.0,83.0,,257.0,,15.0,5.0,4.0,34.0,15.0,3.0,3.0,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,,,60.0,2.0,2.0,26.0,,117.0,,12.0,4.0,4.0,46.0,12.0,1.0,,
FOOTBALL_CFL_2021_12_5_SSK@WPG,2021-12-05,2021,1,CFL,SSK,WPG,,,,,65.0,3.0,3.0,62.0,,170.0,,5.0,2.0,1.0,16.0,5.0,2.0,2.0,
FOOTBALL_CFL_2021_8_14_HAM@SSK,2021-08-14,2021,1,CFL,HAM,SSK,,,,,74.0,6.0,6.0,126.0,,396.0,,12.0,3.0,3.0,41.0,12.0,3.0,3.0,
FOOTBALL_CFL_2021_8_21_OTT@SSK,2021-08-21,2021,1,CFL,OTT,SSK,,,,,71.0,4.0,4.0,74.0,,256.0,,16.0,5.0,5.0,44.0,16.0,1.0,1.0,
FOOTBALL_CFL_2021_8_6_BC@SSK,2021-08-06,2021,1,CFL,BC,SSK,,,,,72.0,5.0,5.0,102.0,,318.0,,7.0,1.0,1.0,39.0,7.0,4.0,4.0,
FOOTBALL_CFL_2021_9_11_SSK@WPG,2021-09-11,2021,1,CFL,SSK,WPG,,,,,72.0,2.0,2.0,35.0,,129.0,,9.0,5.0,3.0,30.0,9.0,,,
FOOTBALL_CFL_2021_9_17_TOR@SSK,2021-09-17,2021,1,CFL,TOR,SSK,,,,,94.0,5.0,4.0,75.0,,357.0,,10.0,4.0,2.0,24.0,8.0,2.0,2.0,
FOOTBALL_CFL_2021_9_24_SSK@BC,2021-09-24,2021,1,CFL,SSK,BC,,,,,72.0,3.0,3.0,43.0,,173.0,,13.0,4.0,4.0,49.0,13.0,1.0,1.0,
FOOTBALL_CFL_2021_9_5_WPG@SSK,2021-09-05,2021,1,CFL,WPG,SSK,,,,,,,,,,,,7.0,3.0,2.0,54.0,6.0,,,
FOOTBALL_CFL_2022_10_22_CGY@SSK,2022-10-22,2022,1,CFL,CGY,SSK,,,,,70.0,3.0,2.0,42.0,,144.0,,9.0,4.0,2.0,46.0,8.0,2.0,2.0,
FOOTBALL_CFL_2022_10_29_SSK@CGY,2022-10-29,2022,1,CFL,SSK,CGY,,,,,76.0,1.0,1.0,25.0,,76.0,,4.0,1.0,1.0,33.0,4.0,1.0,1.0,
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,,,59.0,3.0,3.0,42.0,,168.0,,2.0,,,,2.0,2.0,2.0,
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,,,,,76.0,3.0,3.0,65.0,,206.0,,16.0,5.0,5.0,48.0,16.0,1.0,1.0,
FOOTBALL_CFL_2022_6_18_SSK@EDM,2022-06-18,2022,1,CFL,SSK,EDM,,,,,69.0,4.0,4.0,73.0,,251.0,,12.0,5.0,4.0,50.0,12.0,,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,,,72.0,2.0,2.0,112.0,1.0,130.0,,7.0,2.0,2.0,41.0,7.0,1.0,1.0,
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,,,,,76.0,3.0,2.0,32.0,,189.0,,12.0,4.0,3.0,36.0,11.0,2.0,2.0,
FOOTBALL_CFL_2022_7_24_TOR@SSK,2022-07-24,2022,1,CFL,TOR,SSK,,,,,66.0,2.0,2.0,43.0,,131.0,,9.0,3.0,3.0,28.0,9.0,,,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,,,,,,,,,,,,5.0,1.0,1.0,28.0,5.0,2.0,2.0,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,,76.0,5.0,5.0,187.0,1.0,317.0,,6.0,2.0,1.0,57.0,5.0,2.0,2.0,
FOOTBALL_CFL_2022_7_8_OTT@SSK,2022-07-08,2022,1,CFL,OTT,SSK,,,,,67.0,4.0,4.0,118.0,,258.0,,10.0,4.0,3.0,50.0,10.0,2.0,1.0,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,,,,,,,,,8.0,2.0,2.0,46.0,8.0,3.0,2.0,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,,,,,,,,,,,,4.0,1.0,1.0,12.0,4.0,1.0,1.0,
FOOTBALL_CFL_2022_8_26_SSK@BC,2022-08-26,2022,1,CFL,SSK,BC,,,,,,,,,,,,11.0,3.0,3.0,22.0,11.0,2.0,2.0,
FOOTBALL_CFL_2022_9_10_SSK@WPG,2022-09-10,2022,1,CFL,SSK,WPG,,,,,,,,,,,,8.0,2.0,2.0,53.0,8.0,2.0,2.0,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,,,,,70.0,2.0,2.0,42.0,,135.0,,12.0,5.0,3.0,39.0,11.0,2.0,2.0,
FOOTBALL_CFL_2022_9_30_SSK@WPG,2022-09-30,2022,1,CFL,SSK,WPG,,,,,59.0,1.0,1.0,2.0,,59.0,,7.0,2.0,2.0,25.0,7.0,1.0,1.0,
FOOTBALL_CFL_2022_9_4_WPG@SSK,2022-09-04,2022,1,CFL,WPG,SSK,,,,,,,,,,,,10.0,4.0,3.0,47.0,10.0,1.0,1.0,
9889286,2023-06-11,2023,1,CFL,SSK,EDM,1.0,103.0,,1.0,,,,,,,,,,,,,,,
