game_id,date,season,week,league,away,home,ret_lg,ret_num,ret_yds
FOOTBALL_CFL_2021_10_23_OTT@HAM,2021-10-23,2021,1,CFL,OTT,HAM,24.0,4.0,66.0
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,31.0,6.0,103.0
