game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,5.0,8.0,1.0,101.0,155.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,23.0,3.0,5.0,1.0,20.0,40.0,15.0,,15.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,71.0,8.0,9.0,2.0,75.0,176.0,24.0,1.0,24.0,,,,2.0,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,52.0,7.0,7.0,1.0,81.0,187.0,11.0,4.0,20.0,,,,1.0,,
FOOTBALL_CFL_2016_7_13_OTT@TOR,2016-07-13,2016,1,CFL,OTT,TOR,26.0,6.0,7.0,,35.0,63.0,18.0,1.0,18.0,,,,,,
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,14.0,1.0,4.0,,14.0,14.0,9.0,1.0,9.0,,,,,,
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,35.0,6.0,9.0,,36.0,55.0,25.0,3.0,61.0,,,,,,
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,52.0,10.0,13.0,3.0,83.0,130.0,8.0,1.0,8.0,,,,3.0,,
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,5.0,10.0,1.0,38.0,97.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,53.0,5.0,7.0,,24.0,116.0,20.0,1.0,20.0,,,,,,
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,27.0,7.0,12.0,1.0,35.0,62.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,4.0,1.0,4.0,,-1.0,4.0,16.0,2.0,23.0,,,,,,
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,14.0,10.0,13.0,,23.0,91.0,,,,,,,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,34.0,3.0,9.0,,11.0,56.0,,,,,,,,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,56.0,6.0,9.0,,24.0,98.0,,,,,,,,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,8.0,5.0,8.0,,12.0,22.0,,,,,,,,,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,,3.0,6.0,1.0,58.0,130.0,,,,1.0,-2.0,-2.0,1.0,6.0,1.0
FOOTBALL_CFL_2018_7_28_OTT@HAM,2018-07-28,2018,1,CFL,OTT,HAM,14.0,2.0,4.0,,6.0,22.0,,,,,,,,,
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,33.0,1.0,1.0,,30.0,33.0,,,,,,,,,
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,22.0,3.0,5.0,,16.0,44.0,1.0,3.0,25.0,,,,,,
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,13.0,3.0,6.0,,1.0,33.0,22.0,4.0,61.0,,,,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,8.0,2.0,3.0,,7.0,15.0,,,,,,,,,
