game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_sacks,def_tackles,gp,pr_no,pr_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,2.0,5.0,,58.0,11.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,4.0,0.5,53.0,12.0,1.0,10.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,,,10.0,3.0,,
