game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points
NLL_2019_SEASON_TOTAL,,,1,,,,3.0,12.0,2.0,12.0,5.0
NLL_2021_SEASON_TOTAL,,,1,,,,13.0,18.0,1.0,4.0,14.0
NLL_2022_SEASON_TOTAL,,,1,,,,5.0,11.0,2.0,4.0,7.0
NLL_2023_SEASON_TOTAL,,,1,,,,7.0,10.0,,2.0,7.0
