game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,receiving_tds,receiving_yards,receptions,shots,shots_on_target,tackles,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-uslc-2019-wvq9jx1QWn,,2019,1,USLC,,,0.0,-0.4486,23.2116,5.6129,2.0,0.6991,2.0,4.0,1916.0,0.856,1111.0,-11.9758,-1.0779,0.9657,,,,16.0,4.0,,0.4486,1.3009,-0.0888,1.7495,0.8668,0.9588
soccer-mls-2020-KAqBN0Vqbg,,2020,1,MLS,,,0.0,0.0,21.1396,4.3599,0.0,0.0,0.0,0.0,57.0,0.8409,44.0,-1.5011,-3.4116,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.875,0.0
soccer-mls-2021-KAqBN0Vqbg,,2021,1,MLS,,,0.0,-0.0942,19.3775,3.873,1.0,0.9224,1.0,1.0,704.0,0.8529,367.0,-3.2454,-0.8843,0.6015,,,,3.0,1.0,,0.0942,0.0776,-0.0023,0.1718,0.8617,0.0383
soccer-uslc-2021-wvq9jx1QWn,,2021,1,USLC,,,0.0,-0.1423,22.9096,7.1169,0.0,-0.1861,0.0,1.0,396.0,0.8661,336.0,-0.8323,-0.2477,0.0,,,,4.0,1.0,,0.1423,0.1861,-0.0903,0.3284,0.8685,0.1631
soccer-mls-2022-KAqBN0Vqbg,,2022,1,MLS,,,0.0,-0.5644,20.6001,6.1218,0.0,-0.7374,0.0,6.0,1619.0,0.8611,972.0,-2.1635,-0.2226,0.0,,,,8.0,3.0,,0.5644,0.7374,-0.2859,1.3018,0.8633,0.4471
soccer-mls-2023-APk5LGOMOW,,2023,1,MLS,,,1.0,0.7931,21.7719,6.3336,1.0,0.4508,2.0,3.0,2052.0,0.8308,1188.0,-10.7926,-0.9085,0.2737,,,,5.0,2.0,,0.2069,0.5492,0.6738,0.756,0.8399,0.3385
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,SEA DRAGONS,BATTLEHAWKS,,,,,,,,,,,,,,,,11.0,1.0,,,,,,,,,
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,,,,,,,,,,,,1.0,5.0,1.0,,,,,,,,,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,,,,,,,,,,,,,54.0,3.0,,,1.0,,,,,,
soccer-mls-2024-APk5LGOMOW,,2024,1,MLS,,,2.0,1.0532,20.2977,6.4238,0.0,-0.2537,2.0,8.0,2565.0,0.8552,1886.0,12.5438,0.6651,0.0,,,,7.0,1.0,,0.9468,0.2537,-0.1586,1.2005,0.8486,0.1484
soccer-mls-2025-APk5LGOMOW,,2025,1,MLS,,,0.0,-0.974,22.841,7.4535,0.0,-0.5036,0.0,5.0,1499.0,0.8631,1030.0,8.5049,0.8257,0.0,,,,11.0,2.0,,0.974,0.5036,-0.4548,1.4776,0.8548,0.4724
