game_id,date,season,week,league,away,home,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,2.0,9.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,7.0
